產業別,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
11,2017,484467.51,209.84,330424.62,284.03,154042.89,134.49,
11,2016,529691.32,229.43,385725.21,331.56,143966.11,125.69,
11,2015,463076.96,200.58,313439.2,269.43,149637.76,130.64,
11,2014,490779.55,212.58,348725.29,299.76,142054.26,124.02,
11,2021,126771.18,54.91,42295.57,36.36,84475.61,73.75,T
11,2022,37347.09,16.18,0,0,67083.79,58.57,T
11,2023,0,0,0,0,49691.97,43.38,T
11,2024,0,0,0,0,32300.15,28.2,T
11,2025,0,0,0,0,14908.33,13.02,T
11,2026,0,0,0,0,0,0,T
11,2027,0,0,0,0,0,0,T
11,2028,0,0,0,0,0,0,T
11,2029,0,0,0,0,0,0,T
11,2030,0,0,0,0,0,0,T
11,2031,0,0,0,0,0,0,T
11,2032,0,0,0,0,0,0,T
11,2033,0,0,0,0,0,0,T
11,2034,0,0,0,0,0,0,T
11,2035,0,0,0,0,0,0,T
11,2036,0,0,0,0,0,0,T
11,2037,0,0,0,0,0,0,T
11,2038,0,0,0,0,0,0,T
11,2039,0,0,0,0,0,0,T
11,2040,0,0,0,0,0,0,T
11,2041,0,0,0,0,0,0,T
11,2042,0,0,0,0,0,0,T
11,2043,0,0,0,0,0,0,T
11,2044,0,0,0,0,0,0,T
11,2045,0,0,0,0,0,0,T
11,2046,0,0,0,0,0,0,T
11,2047,0,0,0,0,0,0,T
11,2048,0,0,0,0,0,0,T
11,2049,0,0,0,0,0,0,T
11,2050,0,0,0,0,0,0,T
13,2019,198177.52,100,27350.08,100,170827.44,100,
13,2018,523506.4,264.16,75089.24,274.55,448417.16,262.5,
13,2017,524042.93,264.43,61407.04,224.52,462635.89,270.82,
13,2016,495680.97,250.12,59603.89,217.93,436077.08,255.27,
13,2015,486834.67,245.66,45435.31,166.12,441399.36,258.39,
13,2014,562217.77,283.69,77719.21,284.16,484498.56,283.62,
13,2013,1229866.62,620.59,737308.3,2695.82,492558.32,288.34,
13,2020,99009.7,49.96,16598.81,60.69,82410.89,48.24,T
13,2021,0,0,5847.54,21.38,0,0,T
13,2022,0,0,0,0,0,0,T
13,2023,0,0,0,0,0,0,T
13,2024,0,0,0,0,0,0,T
13,2025,0,0,0,0,0,0,T
13,2026,0,0,0,0,0,0,T
13,2027,0,0,0,0,0,0,T
13,2028,0,0,0,0,0,0,T
13,2029,0,0,0,0,0,0,T
13,2030,0,0,0,0,0,0,T
13,2031,0,0,0,0,0,0,T
13,2032,0,0,0,0,0,0,T
13,2033,0,0,0,0,0,0,T
13,2034,0,0,0,0,0,0,T
13,2035,0,0,0,0,0,0,T
13,2036,0,0,0,0,0,0,T
13,2037,0,0,0,0,0,0,T
13,2038,0,0,0,0,0,0,T
13,2039,0,0,0,0,0,0,T
13,2040,0,0,0,0,0,0,T
13,2041,0,0,0,0,0,0,T
13,2042,0,0,0,0,0,0,T
13,2043,0,0,0,0,0,0,T
13,2044,0,0,0,0,0,0,T
13,2045,0,0,0,0,0,0,T
13,2046,0,0,0,0,0,0,T
13,2047,0,0,0,0,0,0,T
13,2048,0,0,0,0,0,0,T
13,2049,0,0,0,0,0,0,T
13,2050,0,0,0,0,0,0,T
20,2020,872305.09,95.49,714703.11,94.85,157601.98,98.52,
20,2019,913517.12,100,753547.79,100,159969.33,100,
20,2018,832325.74,91.11,687163.51,91.19,145162.23,90.74,
20,2017,903703.29,98.93,748906.08,99.38,154797.21,96.77,
20,2016,1014229.65,111.02,857568.22,113.8,156661.43,97.93,
