統編,年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
22099131,2018,7722662.42,100.35,1705766.34,102.93,6016896.08,99.65,
22099131,2017,7548799.96,98.1,1638050.52,98.85,5910749.44,97.89,
22099131,2016,6281287.22,81.62,1621376.77,97.84,4659910.45,77.17,
22099131,2015,5534788.12,71.92,1396358.63,84.26,4138429.49,68.54,
22099131,2014,5177947.31,67.29,1274991.27,76.94,3902956.04,64.64,
22099131,2013,4270663.26,55.5,1112405.32,67.13,3158257.94,52.3,
22099131,2021,9985023.09,129.75,2319817.4,139.99,7665205.69,126.94,T
22099131,2022,10594078.88,137.67,2490259.12,150.27,8103819.76,134.21,T
22099131,2023,11203134.66,145.58,2660700.84,160.56,8542433.82,141.47,T
22099131,2024,11812190.44,153.5,2831142.56,170.84,8981047.88,148.74,T
22099131,2025,12421246.23,161.41,3001584.28,181.13,9419661.95,156,T
22099131,2026,13030302.01,169.33,3172026,191.41,9858276.01,163.26,T
22099131,2027,13639357.79,177.24,3342467.72,201.7,10296890.07,170.53,T
22099131,2028,14248413.58,185.16,3512909.44,211.98,10735504.14,177.79,T
22099131,2029,14857469.36,193.07,3683351.16,222.27,11174118.2,185.06,T
22099131,2030,15466525.14,200.98,3853792.88,232.55,11612732.26,192.32,T
22099131,2031,16075580.93,208.9,4024234.6,242.84,12051346.33,199.58,T
22099131,2032,16684636.71,216.81,4194676.32,253.12,12489960.39,206.85,T
22099131,2033,17293692.49,224.73,4365118.04,263.41,12928574.45,214.11,T
22099131,2034,17902748.28,232.64,4535559.76,273.69,13367188.52,221.38,T
22099131,2035,18511804.06,240.56,4706001.48,283.98,13805802.58,228.64,T
22099131,2036,19120859.84,248.47,4876443.2,294.26,14244416.64,235.9,T
22099131,2037,19729915.63,256.39,5046884.92,304.55,14683030.71,243.17,T
22099131,2038,20338971.41,264.3,5217326.64,314.84,15121644.77,250.43,T
22099131,2039,20948027.19,272.22,5387768.36,325.12,15560258.83,257.7,T
22099131,2040,21557082.98,280.13,5558210.08,335.41,15998872.9,264.96,T
22099131,2041,22166138.76,288.04,5728651.8,345.69,16437486.96,272.22,T
22099131,2042,22775194.54,295.96,5899093.52,355.98,16876101.02,279.49,T
22099131,2043,23384250.33,303.87,6069535.24,366.26,17314715.09,286.75,T
22099131,2044,23993306.11,311.79,6239976.96,376.55,17753329.15,294.02,T
22099131,2045,24602361.89,319.7,6410418.68,386.83,18191943.21,301.28,T
22099131,2046,25211417.68,327.62,6580860.4,397.12,18630557.28,308.54,T
22099131,2047,25820473.46,335.53,6751302.12,407.4,19069171.34,315.81,T
22099131,2048,26429529.24,343.45,6921743.84,417.69,19507785.4,323.07,T
22099131,2049,27038585.03,351.36,7092185.56,427.97,19946399.47,330.34,T
22099131,2050,27647640.81,359.28,7262627.28,438.26,20385013.53,337.6,T
22099174,2020,77372.05,113.28,56990.49,118.49,20381.56,100.88,
22099174,2019,68298.81,100,48095.93,100,20202.88,100,
22099174,2018,78179.05,114.47,56944.8,118.4,21234.25,105.11,
22099174,2017,71568.63,104.79,50608.12,105.22,20960.51,103.75,
22099174,2016,66247.15,97,46376.39,96.42,19870.76,98.36,
22099174,2015,41850.59,61.28,26892.88,55.92,14957.71,74.04,
22099174,2014,42138.75,61.7,27493.97,57.16,14644.78,72.49,
22099174,2013,37926.16,55.53,23687.73,49.25,14238.43,70.48,
22099174,2021,79306.52,116.12,59117.95,122.92,20188.58,99.93,T
22099174,2022,81241,118.95,61245.4,127.34,19995.59,98.97,T
22099174,2023,83175.47,121.78,63372.86,131.76,19802.61,98.02,T
22099174,2024,85109.94,124.61,65500.32,136.19,19609.63,97.06,T
22099174,2025,87044.42,127.45,67627.77,140.61,19416.64,96.11,T
22099174,2026,88978.89,130.28,69755.23,145.03,19223.66,95.15,T
22099174,2027,90913.36,133.11,71882.69,149.46,19030.68,94.2,T
