統編,分類,子分類,項目,來自公司報告,單位,年份,數值
86735240,G,資本額,資本額,,元,2020,1201368760
86735240,G,資本額,資本額,,元,2019,1201368760
16550923,G,資本額,資本額,,元,2020,813404930
16550923,G,資本額,資本額,,元,2019,813404930
12894399,G,資本額,資本額,,元,2020,268100000
12894399,G,資本額,資本額,,元,2019,268100000
97063584,G,資本額,資本額,,元,2020,1678770000
97063584,G,資本額,資本額,,元,2019,1678770000
27983551,G,資本額,資本額,,元,2020,706893890
27983551,G,資本額,資本額,,元,2019,706893890
23218022,G,資本額,資本額,,元,2020,4444791420
23218022,G,資本額,資本額,,元,2019,4444791420
70785139,G,資本額,資本額,,元,2020,4508440600
70785139,G,資本額,資本額,,元,2019,4508440600
54795527,G,資本額,資本額,,元,2020,177625000
54795527,G,資本額,資本額,,元,2019,177625000
28823511,G,資本額,資本額,,元,2020,1135136430
28823511,G,資本額,資本額,,元,2019,1135136430
22099218,G,資本額,資本額,,元,2020,39800001930
22099218,G,資本額,資本額,,元,2019,39800001930
55625676,G,資本額,資本額,,元,2020,3801023440
55625676,G,資本額,資本額,,元,2019,3801023440
04226986,G,資本額,資本額,,元,2020,1787082820
04226986,G,資本額,資本額,,元,2019,1787082820
30901647,G,資本額,資本額,,元,2020,811390000
30901647,G,資本額,資本額,,元,2019,811390000
25104761,G,資本額,資本額,,元,2020,380000000
25104761,G,資本額,資本額,,元,2019,380000000
53089904,G,資本額,資本額,,元,2020,367291330
53089904,G,資本額,資本額,,元,2019,367291330
23446187,G,資本額,資本額,,元,2020,4290616750
23446187,G,資本額,資本額,,元,2019,4290616750
86169913,G,資本額,資本額,,元,2020,331930000
86169913,G,資本額,資本額,,元,2019,331930000
80661880,G,資本額,資本額,,元,2020,631920780
80661880,G,資本額,資本額,,元,2019,631920780
80661122,G,資本額,資本額,,元,2020,220100000
80661122,G,資本額,資本額,,元,2019,220100000
70734477,G,資本額,資本額,,元,2020,1068000000
70734477,G,資本額,資本額,,元,2019,1068000000
16130296,G,資本額,資本額,,元,2020,602917820
16130296,G,資本額,資本額,,元,2019,602917820
22404266,G,資本額,資本額,,元,2020,370000000
22404266,G,資本額,資本額,,元,2019,370000000
05126366,G,資本額,資本額,,元,2020,5688459210
05126366,G,資本額,資本額,,元,2019,5688459210
12613876,G,資本額,資本額,,元,2020,315956830
12613876,G,資本額,資本額,,元,2019,315956830
12858252,G,資本額,資本額,,元,2020,876714140
12858252,G,資本額,資本額,,元,2019,876714140
23826736,G,資本額,資本額,,元,2020,4422222230
23826736,G,資本額,資本額,,元,2019,4422222230
89406518,G,資本額,資本額,,元,2020,7756965990
89406518,G,資本額,資本額,,元,2019,7756965990
22101116,G,資本額,資本額,,元,2020,5217218760
22101116,G,資本額,資本額,,元,2019,5217218760
22145016,G,資本額,資本額,,元,2020,3328149270
22145016,G,資本額,資本額,,元,2019,3328149270
13145774,G,資本額,資本額,,元,2020,338410000
13145774,G,資本額,資本額,,元,2019,338410000
89004161,G,資本額,資本額,,元,2020,8271310330
89004161,G,資本額,資本額,,元,2019,8271310330
12636560,G,資本額,資本額,,元,2020,940892590
12636560,G,資本額,資本額,,元,2019,940892590
76025826,G,資本額,資本額,,元,2020,830000000
76025826,G,資本額,資本額,,元,2019,830000000
29187308,G,資本額,資本額,,元,2020,43829323820
29187308,G,資本額,資本額,,元,2019,43829323820
04982433,G,營運狀況,營業收入,,仟元,2020,759358
04982433,G,營運狀況,營業成本,,仟元,2020,464314
04982433,G,營運狀況,營業費用,,仟元,2020,153936
04982433,G,營運狀況,淨利,,仟元,2020,105636
47217677,G,營運狀況,營業收入,,仟元,2020,176820914
47217677,G,營運狀況,營業成本,,仟元,2020,137823813
47217677,G,營運狀況,營業費用,,仟元,2020,23243584
47217677,G,營運狀況,淨利,,仟元,2020,27180412
89004161,G,營運狀況,營業收入,,仟元,2020,13851909
89004161,G,營運狀況,營業成本,,仟元,2020,13154556
89004161,G,營運狀況,營業費用,,仟元,2020,884398
89004161,G,營運狀況,淨利,,仟元,2020,-266123
22099131,G,營運狀況,營業收入,,仟元,2020,1339254811
22099131,G,營運狀況,營業成本,,仟元,2020,628108309
22099131,G,營運狀況,營業費用,,仟元,2020,145056549
22099131,G,營運狀況,淨利,,仟元,2020,518158082
22099548,G,營運狀況,營業收入,,仟元,2020,39800947
22099548,G,營運狀況,營業成本,,仟元,2020,26391592
22099548,G,營運狀況,營業費用,,仟元,2020,7542878
22099548,G,營運狀況,淨利,,仟元,2020,5325612
22099408,G,營運狀況,營業收入,,仟元,2020,4666756
22099408,G,營運狀況,營業成本,,仟元,2020,3723670
22099408,G,營運狀況,營業費用,,仟元,2020,598933
22099408,G,營運狀況,淨利,,仟元,2020,486307
22099110,G,營運狀況,營業收入,,仟元,2020,1845652
22099110,G,營運狀況,營業成本,,仟元,2020,1427057
22099110,G,營運狀況,營業費用,,仟元,2020,200327
22099110,G,營運狀況,淨利,,仟元,2020,219533
22099218,G,營運狀況,營業收入,,仟元,2020,60683171
22099218,G,營運狀況,營業成本,,仟元,2020,43643035
22099218,G,營運狀況,營業費用,,仟元,2020,15412845
22099218,G,營運狀況,淨利,,仟元,2020,1519043
58506816,G,營運狀況,營業收入,,仟元,2020,8450611
58506816,G,營運狀況,營業成本,,仟元,2020,7118232
58506816,G,營運狀況,營業費用,,仟元,2020,730792
58506816,G,營運狀況,淨利,,仟元,2020,401381
22099202,G,營運狀況,營業收入,,仟元,2020,160171
22099202,G,營運狀況,營業成本,,仟元,2020,115036
22099202,G,營運狀況,營業費用,,仟元,2020,492509
22099202,G,營運狀況,淨利,,仟元,2020,-300090
55625676,G,營運狀況,營業收入,,仟元,2020,5457586
55625676,G,營運狀況,營業成本,,仟元,2020,5158502
55625676,G,營運狀況,營業費用,,仟元,2020,462614
55625676,G,營運狀況,淨利,,仟元,2020,-163140
22671299,G,營運狀況,營業收入,,仟元,2020,77759470
22671299,G,營運狀況,營業成本,,仟元,2020,44510731
22671299,G,營運狀況,營業費用,,仟元,2020,24609176
22671299,G,營運狀況,淨利,,仟元,2020,8793526
86870786,G,營運狀況,營業收入,,仟元,2020,6502715
86870786,G,營運狀況,營業成本,,仟元,2020,4447181
86870786,G,營運狀況,營業費用,,仟元,2020,2834454
86870786,G,營運狀況,淨利,,仟元,2020,4844834
23821182,G,營運狀況,營業收入,,仟元,2020,6414140
23821182,G,營運狀況,營業成本,,仟元,2020,3489044
23821182,G,營運狀況,營業費用,,仟元,2020,2408966
23821182,G,營運狀況,淨利,,仟元,2020,618827
89390656,G,營運狀況,營業收入,,仟元,2020,61005514
89390656,G,營運狀況,營業成本,,仟元,2020,45313936
89390656,G,營運狀況,營業費用,,仟元,2020,7257104
