統編,分類,子分類,項目,來自公司報告,單位,年份,數值
59661701,G,資本額,資本額,,元,2020,4999990380
59661701,G,資本額,資本額,,元,2019,4999990380
35012903,G,資本額,資本額,,元,2020,566226270
35012903,G,資本額,資本額,,元,2019,566226270
23420497,G,資本額,資本額,,元,2020,370643670
23420497,G,資本額,資本額,,元,2019,370643670
34106066,G,資本額,資本額,,元,2020,1083425100
34106066,G,資本額,資本額,,元,2019,1083425100
89955491,G,資本額,資本額,,元,2020,119093670
89955491,G,資本額,資本額,,元,2019,119093670
43696296,G,資本額,資本額,,元,2020,736907370
43696296,G,資本額,資本額,,元,2019,736907370
12529007,G,資本額,資本額,,元,2020,1729288320
12529007,G,資本額,資本額,,元,2019,1729288320
22102298,G,資本額,資本額,,元,2020,2187030510
22102298,G,資本額,資本額,,元,2019,2187030510
56121907,G,資本額,資本額,,元,2020,3751000000
56121907,G,資本額,資本額,,元,2019,3751000000
56192402,G,資本額,資本額,,元,2020,3220138870
56192402,G,資本額,資本額,,元,2019,3220138870
89480404,G,資本額,資本額,,元,2020,600000000
89480404,G,資本額,資本額,,元,2019,600000000
03543210,G,資本額,資本額,,元,2020,1790779000
03543210,G,資本額,資本額,,元,2019,1790779000
11347802,G,資本額,資本額,,元,2020,8000000000
11347802,G,資本額,資本額,,元,2019,8000000000
36514783,G,資本額,資本額,,元,2020,2679909980
36514783,G,資本額,資本額,,元,2019,2679909980
07067309,G,資本額,資本額,,元,2020,2400000000
07067309,G,資本額,資本額,,元,2019,2400000000
84478111,G,資本額,資本額,,元,2020,235460320
84478111,G,資本額,資本額,,元,2019,235460320
07569627,G,資本額,資本額,,元,2020,2017623940
07569627,G,資本額,資本額,,元,2019,2017623940
11996904,G,資本額,資本額,,元,2020,14096480360
11996904,G,資本額,資本額,,元,2019,14096480360
07305506,G,資本額,資本額,,元,2020,2941329000
07305506,G,資本額,資本額,,元,2019,2941329000
20651901,G,資本額,資本額,,元,2020,4018710940
20651901,G,資本額,資本額,,元,2019,4018710940
22102473,G,資本額,資本額,,元,2020,9150895910
22102473,G,資本額,資本額,,元,2019,9150895910
12467902,G,資本額,資本額,,元,2020,1020981820
12467902,G,資本額,資本額,,元,2019,1020981820
18559415,G,資本額,資本額,,元,2020,905919000
18559415,G,資本額,資本額,,元,2019,905919000
15319335,G,資本額,資本額,,元,2020,880000000
15319335,G,資本額,資本額,,元,2019,880000000
89397503,G,資本額,資本額,,元,2020,2780955000
89397503,G,資本額,資本額,,元,2019,2780955000
20927014,G,資本額,資本額,,元,2020,1778000000
20927014,G,資本額,資本額,,元,2019,1778000000
16962158,G,資本額,資本額,,元,2020,407893910
16962158,G,資本額,資本額,,元,2019,407893910
03794905,G,資本額,資本額,,元,2020,78288192000
03794905,G,資本額,資本額,,元,2019,78288192000
16635562,G,資本額,資本額,,元,2020,479880000
16635562,G,資本額,資本額,,元,2019,479880000
73008303,G,資本額,資本額,,元,2020,8521592590
73008303,G,資本額,資本額,,元,2019,8521592590
73251209,G,資本額,資本額,,元,2020,56820154210
73251209,G,資本額,資本額,,元,2019,56820154210
85617982,G,資本額,資本額,,元,2020,1043979850
85617982,G,資本額,資本額,,元,2019,1043979850
76316325,G,資本額,資本額,,元,2020,887720260
76316325,G,資本額,資本額,,元,2019,887720260
11347802,G,營運狀況,營業收入,,仟元,2020,18650871
11347802,G,營運狀況,營業成本,,仟元,2020,13206608
11347802,G,營運狀況,營業費用,,仟元,2020,4849210
11347802,G,營運狀況,淨利,,仟元,2020,536142
07067309,G,營運狀況,營業收入,,仟元,2020,6043700
07067309,G,營運狀況,營業成本,,仟元,2020,3999778
07067309,G,營運狀況,營業費用,,仟元,2020,1069011
07067309,G,營運狀況,淨利,,仟元,2020,693921
73008303,G,營運狀況,營業收入,,仟元,2020,81650892
73008303,G,營運狀況,營業成本,,仟元,2020,69388663
73008303,G,營運狀況,營業費用,,仟元,2020,8050281
73008303,G,營運狀況,淨利,,仟元,2020,4072346
35012903,G,營運狀況,營業收入,,仟元,2020,409612
35012903,G,營運狀況,營業成本,,仟元,2020,404063
35012903,G,營運狀況,營業費用,,仟元,2020,57997
35012903,G,營運狀況,淨利,,仟元,2020,-27252
36514783,G,營運狀況,營業收入,,仟元,2020,22189635
36514783,G,營運狀況,營業成本,,仟元,2020,18664912
36514783,G,營運狀況,營業費用,,仟元,2020,1652968
36514783,G,營運狀況,淨利,,仟元,2020,1639876
73251209,G,營運狀況,營業收入,,仟元,2020,447319979
73251209,G,營運狀況,營業成本,,仟元,2020,293289723
73251209,G,營運狀況,營業費用,,仟元,2020,124246365
73251209,G,營運狀況,淨利,,仟元,2020,30800665
65534366,G,營運狀況,營業收入,,仟元,2020,4614486
65534366,G,營運狀況,營業成本,,仟元,2020,3095482
