統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
89528054,2039,31892.74,31.85,29301.71,32.51,2591.03,25.93,T
89528054,2040,28373.31,28.34,26160.44,29.03,2212.87,22.15,T
89528054,2041,24853.88,24.82,23019.16,25.54,1834.72,18.36,T
89528054,2042,21334.45,21.31,19877.88,22.05,1456.57,14.58,T
89528054,2043,17815.02,17.79,16736.61,18.57,1078.41,10.79,T
89528054,2044,14295.59,14.28,13595.33,15.08,700.26,7.01,T
89528054,2045,10776.16,10.76,10454.05,11.6,322.11,3.22,T
89528054,2046,7256.73,7.25,7312.78,8.11,0,0,T
89528054,2047,3737.3,3.73,4171.5,4.63,0,0,T
89528054,2048,217.87,0.22,1030.22,1.14,0,0,T
89528054,2049,0,0,0,0,0,0,T
89528054,2050,0,0,0,0,0,0,T
02750963,2020,5397.52,98.94,111.32,79.46,5286.2,99.46,
02750963,2019,5455.11,100,140.09,100,5315.02,100,
02750963,2018,5273.71,96.67,127,90.66,5146.71,96.83,
02750963,2017,5463.33,100.15,138.39,98.79,5324.94,100.19,
02750963,2021,5375.58,98.54,102.3,73.02,5273.29,99.21,T
02750963,2022,5353.65,98.14,93.27,66.58,5260.37,98.97,T
02750963,2023,5331.71,97.74,84.25,60.14,5247.46,98.73,T
02750963,2024,5309.77,97.34,75.23,53.7,5234.55,98.49,T
02750963,2025,5287.84,96.93,66.2,47.26,5221.63,98.24,T
02750963,2026,5265.9,96.53,57.18,40.82,5208.72,98,T
02750963,2027,5243.96,96.13,48.16,34.38,5195.81,97.76,T
02750963,2028,5222.03,95.73,39.13,27.93,5182.89,97.51,T
02750963,2029,5200.09,95.33,30.11,21.49,5169.98,97.27,T
02750963,2030,5178.15,94.92,21.09,15.05,5157.07,97.03,T
02750963,2031,5156.22,94.52,12.06,8.61,5144.15,96.79,T
02750963,2032,5134.28,94.12,3.04,2.17,5131.24,96.54,T
02750963,2033,5112.34,93.72,0,0,5118.33,96.3,T
02750963,2034,5090.41,93.31,0,0,5105.41,96.06,T
02750963,2035,5068.47,92.91,0,0,5092.5,95.81,T
02750963,2036,5046.53,92.51,0,0,5079.59,95.57,T
02750963,2037,5024.6,92.11,0,0,5066.67,95.33,T
02750963,2038,5002.66,91.71,0,0,5053.76,95.08,T
02750963,2039,4980.72,91.3,0,0,5040.85,94.84,T
02750963,2040,4958.79,90.9,0,0,5027.93,94.6,T
02750963,2041,4936.85,90.5,0,0,5015.02,94.36,T
02750963,2042,4914.91,90.1,0,0,5002.11,94.11,T
02750963,2043,4892.98,89.7,0,0,4989.19,93.87,T
02750963,2044,4871.04,89.29,0,0,4976.28,93.63,T
02750963,2045,4849.1,88.89,0,0,4963.37,93.38,T
02750963,2046,4827.17,88.49,0,0,4950.45,93.14,T
02750963,2047,4805.23,88.09,0,0,4937.54,92.9,T
02750963,2048,4783.29,87.68,0,0,4924.63,92.65,T
02750963,2049,4761.36,87.28,0,0,4911.71,92.41,T
02750963,2050,4739.42,86.88,0,0,4898.8,92.17,T
