stock_code,name,name_abbr,tax_code,parent_tax_code,amount_capital,address,ind_class_codes,industry_code,industry,company_type
,富強輪胎工廠股份有限公司,,59743302,,640850000,彰化縣員林市中央里柳橋路二段２８５號,"210100,210200,210999,465315",,,
,艾思妮國際股份有限公司,,84614919,,550000000,彰化縣員林市南東里員草路９２９號,"455111,455211,121022,121024",,,
,松之門控設備股份有限公司,,54818401,,569240000,彰化縣員林市溝皂里０１５鄰柳橋路二段１７１號,"259999,461515,252100",,,
,明躍國際健康科技股份有限公司,,70527203,,800000000,彰化縣埔心鄉瓦北村瑤鳳路１段３９８號,"458299,331199,476299",,,
1466,聚隆纖維股份有限公司,聚隆,22976047,,1111573200,彰化縣埔鹽鄉永樂村番金路９４號,"111999,111300,113000,115999",04,紡織纖維,上市公司
,耐特科技材料股份有限公司,,22911832,,636110790,彰化縣埤頭鄉興農村彰水路四段４６８巷６號,220999,,,
2109,華豐橡膠工業股份有限公司,華豐,59760104,,2793491340,彰化縣大村鄉村上村中山路二段３００號,210100,11,橡膠工業,上市公司
,摩特動力工業股份有限公司,,97166694,,1000000000,彰化縣大村鄉福興村山腳路６６號,"312200,312100,465211,465314",,,
9914,美利達工業股份有限公司,美利達,59052361,,2989838000,彰化縣大村鄉美港村美港路１１６號,"313100,313200,259999",37,nan,上市公司
2105,正新橡膠工業股份有限公司,正新,59504506,,32414155360,彰化縣大村鄉黃厝村美港路２１５號,210100,11,橡膠工業,上市公司
1326,台灣化學纖維股份有限公司,台化,58650902,,58611862910,彰化縣彰化市中庄里中山路３段３５９號,"181099,181015,184199,185099",03,塑膠工業,上市公司
,欣彰天然氣股份有限公司,,59033674,,4007833600,彰化縣彰化市國聖里中山路３段７０８－３１號,"352000,433212,275199,433900",,,
,佳承精工股份有限公司,,22239597,,560000000,彰化縣彰化市國聖里國聖路１７５巷１２１弄５５號,"313200,269999,465311,332900",,,
2351,順德工業股份有限公司,順德,58506816,,1821402490,彰化縣彰化市大竹里彰南路２段２６０號,"269911,264200,331400,476111",24,半導體業,上市公司
4503,金雨企業股份有限公司,金雨,59260902,,603133260,彰化縣彰化市延和里埔內街４１１巷１０１號,"292300,487911,331212",05,電機機械,上櫃公司
,太宇科技股份有限公司,,82947519,,540000000,彰化縣彰化市牛埔里一德南路２６―９號,"313200,331199,289099",,,
1517,利奇機械工業股份有限公司,利奇,59008318,,2278250000,彰化縣彰化市石牌里１鄰石牌路１段１１２號,"303099,312200,293999",05,電機機械,上市公司
1557,金豐機器工業股份有限公司,金豐機器,58303609,,1685554000,彰化縣彰化市莿桐里彰水路１８６號,"291211,275113,269112",05,電機機械,公開發行公司
,和泰車體製造股份有限公司,,83698593,,1000000000,彰化縣溪州鄉溪州村俊勇路５１號,"301011,465111,484111,484311",,,
2034,允強實業股份有限公司,允強,59068700,,4702256330,彰化縣溪州鄉舊眉村中山路四段２７０號,254911,10,鋼鐵工業,上市公司
1218,泰山企業股份有限公司,泰山,59661701,,4999990380,彰化縣田中鎮南路里興工路６號,"084011,087000,011999,082099",02,食品工業,上市公司
,隆芳興業股份有限公司,,84406193,,728000000,彰化縣社頭鄉平和村水井巷５一２號,"115199,111999,112999,455112",,,
,久津實業股份有限公司,,59003799,,827997440,彰化縣福興鄉三汴村２鄰興業路１４號,"092099,454700,472923,092011",,,
,健生實業股份有限公司,,58406008,,597038590,彰化縣福興鄉番婆村１鄰彰鹿路６段５０１號,"465311,231200,277999,284100",,,
2231,為升電裝工業股份有限公司,為升,23219346,,1409176080,彰化縣福興鄉番婆村４鄰彰鹿路６段５４６巷６號,"303011,465311,740999",12,汽車工業,上市公司
9935,慶豐富實業股份有限公司,慶豐富,59198197,,1738389260,彰化縣福興鄉福南村００６鄰沿海路四段３７３號,"115199,140999,220999,140300",38,nan,上市公司
,裕典科技股份有限公司,,80080357,,599601000,彰化縣福興鄉萬豐村福工路４號,"251299,251211",,,
,歐利速精密工業股份有限公司,,16963163,,791000000,彰化縣福興鄉萬豐村００２鄰福工路６號,"292800,464112",,,
9904,寶成工業股份有限公司,寶成,58711014,,29467872130,彰化縣福興鄉萬豐村４鄰福工路２號,"130213,121020,123013,681112",37,nan,上市公司
,台全油封工業股份有限公司,,59340949,,616000000,彰化縣福興鄉萬豐村５鄰福工路２－１號,210999,,,
8350,榮輪科技股份有限公司,榮輪科技,22318868,,603229800,彰化縣福興鄉萬豐村６鄰興業路７號,"313200,241212,242211,242312",20,其他,公開發行公司
,三越紡織工業股份有限公司,,58005518,,506000000,彰化縣秀水鄉埔崙村三越街８２號,"112112,112211,111913,451099",,,
,彥豪金屬工業股份有限公司,,22207032,,796000000,彰化縣秀水鄉鶴鳴村１２鄰民主街１３８號,"313200,458211",,,
4502,健信科技工業股份有限公司,健信,55878947,,579116860,彰化縣線西鄉塭仔村彰濱東一路３號,"303099,461511,292111",05,電機機械,上櫃公司
4561,健椿工業股份有限公司,健椿,59362767,,585216190,彰化縣線西鄉寓埔村彰濱東七路１６號,291299,05,電機機械,上櫃公司
4772,台灣特品化學股份有限公司,台特化,54224077,,1382365520,彰化縣線西鄉寓埔村２１鄰彰濱西三路１號,"181099,199099",21,化學工業,興櫃公司
3003,健和興端子股份有限公司,健和興,59276051,,1556548900,彰化縣線西鄉溝內村彰濱東三路８號,"251199,251211,277999,332900",28,電子零組件業,上市公司
,鴻勝化學科技股份有限公司,,13097528,,500000000,彰化縣線西鄉溝內村線工南二路３號,"181099,181015,199012",,,
,台泥綠能股份有限公司,,23469224,,13508986960,彰化縣線西鄉󻕯仔村彰濱東一路１１號,"281099,351000,433112,433199",,,
,全興工業股份有限公司,,58167007,,1200000000,彰化縣花壇鄉北口村中山路２段７８９號,"303099,312200,210999,319013",,,
,大通電子股份有限公司,,58033900,,500000000,彰化縣花壇鄉北口村１６鄰中山路２段７７１號,"269999,464299",,,
,龍承精密股份有限公司,,28815821,,1118750000,彰化縣花壇鄉灣東村灣東路１２６號,"313200,251299,254199,220912",,,
,宏恩塑膠股份有限公司,,86806053,,672267860,彰化縣芳苑鄉後寮村工區七路３７號,"220999,184199",,,
1587,吉茂精密股份有限公司,吉茂,24157564,,686244490,彰化縣芳苑鄉後寮村工區路２８號,303099,12,汽車工業,上市公司
,豐溢綠能材料股份有限公司,,90732456,,600000000,彰化縣芳苑鄉永興村０２１鄰芳漢路永興段５２５號,"220911,220211,210200",,,
6248,沛波鋼鐵股份有限公司,沛波,38432767,,699561490,彰化縣鹿港鎮山崙里經建十一路３號,"281099,284299,272112,272914",10,鋼鐵工業,上櫃公司
6990,華鉬實業股份有限公司,華鉬,16803770,,600250000,彰化縣鹿港鎮東石里工業西一路１９號,"181099,181014,241213,242211",35,nan,興櫃公司
4538,大詠城機械股份有限公司,大詠城,60256758,,575522650,彰化縣鹿港鎮東石里鹿工南六路２３號１、２樓,"241212,242211,243200,451099",05,電機機械,上櫃公司
1339,昭輝實業股份有限公司,昭輝,22078327,,741238750,彰化縣鹿港鎮東石里０２５鄰興業路８號,"465311,220300,465314,220999",12,汽車工業,上市公司
,漢育工業股份有限公司,,23482253,,500000000,彰化縣鹿港鎮東石里０２５鄰鹿工南五路２８號,"303099,312200,319099,259999",,,
,繼茂橡膠工業股份有限公司,,22202901,,973195020,彰化縣鹿港鎮海埔里工業東四路１５號,"210999,210200,220300",,,
,勇立興建築事業股份有限公司,,22560569,,535000000,彰化縣鹿港鎮海埔里工業東四路２－１號,"252299,254911,292999,461999",,,
,裕笙工業股份有限公司,,86473175,,572512940,彰化縣鹿港鎮海埔里鹿工北一路１２號,"254911,241311,451099",,,
,萬峰科技股份有限公司,,53377546,,594800000,彰化縣鹿港鎮海埔里鹿工路１２號,"243100,259999,681112,293311",,,
2064,晉椿工業股份有限公司,晉椿,30826319,,700000000,彰化縣鹿港鎮海埔里鹿工路２４號,"293513,464999,241313,220999",10,鋼鐵工業,上櫃公司
6605,帝寶工業股份有限公司,帝寶,59347422,,1658163000,彰化縣鹿港鎮頭南里南勢巷２０―３號,"303099,312200,251299",12,汽車工業,上市公司
1585,鎧鉅科技股份有限公司,鎧鉅,12642444,,539500000,新北市三峽區介壽里介壽路１段４１２巷１８號,"293917,251199,454999",28,電子零組件業,興櫃公司
,欣鉅興科技股份有限公司,,83201799,,550274970,新北市三峽區介壽里介壽路１段４１２巷１９號,269999,,,
,桔揚股份有限公司,,23778072,,504500000,新北市三峽區溪東里溪東路３１號,"454811,089999",,,
8042,臺灣金山電子工業股份有限公司,金山電,03550210,,1294625490,新北市三重區中興里光復路１段６８巷１１弄１號,262000,28,電子零組件業,上櫃公司
,金剛鐵工廠股份有限公司,,35231007,,550000000,新北市三重區中興里興德路１３１巷１、３號,"292600,291299",,,
6606,建德工業股份有限公司,建德工業,35309102,,1103037830,新北市三重區五谷里光復路１段６１巷２７號１３樓,"291211,291299,319013,340099",05,電機機械,上市公司
,四維精密材料股份有限公司,,80358971,,557062000,新北市三重區五谷里光復路１段８３巷１號,"159999,332900,457113,220999",,,
2365,昆盈企業股份有限公司,昆盈,05141520,,2215284960,新北市三重區五谷里重新路５段４９２號１－８樓,"271911,464922,269999,456414",25,電腦及週邊設備業,上市公司
5426,振發實業股份有限公司,振發,35320697,,1438000000,新北市三重區光復路２段２５號,"312200,259100,259211,273099",25,電腦及週邊設備業,上櫃公司
7702,前端離岸風電設備製造股份有限公司,前端風電,25066268,,660000000,新北市三重區福祉里重新路４段９７號１７樓,"252299,252100,254199",35,nan,興櫃公司
2031,新光鋼鐵股份有限公司,新光鋼,35836625,,3211463410,新北市三重區福祉里重新路４段９７號２５樓,"469925,254911,253999,670012",10,鋼鐵工業,上市公司
3416,融程電訊股份有限公司,融程電,96930209,,797465020,新北市三重區興德路１１１之６號９樓,"269999,272999,639099",25,電腦及週邊設備業,上市公司
1817,凱撒衛浴股份有限公司,凱撒衛,22746550,,726000000,新北市三重區興德路１１１之８號７樓,"461313,232999",08,玻璃陶瓷,上市公司
3466,德晉科技股份有限公司,德晉,12375925,,612605730,新北市三重區興德路１２３之１號８樓,272999,27,通信網路業,上櫃公司
8089,康全電訊股份有限公司,康全電訊,23727877,,586655270,新北市三重區重新路５段６０９巷１０號３樓之１,"271999,272999,631299",27,通信網路業,上櫃公司
,斯凱孚股份有限公司,,23224495,,1694750000,新北市三重區重新路５段６０９巷１０號９樓之１,"464999,292999,340099",,,
3520,華盈電子股份有限公司,華盈,22071540,,688467780,新北市三重區重新路５段６０９巷１８號６樓,"283100,269999",28,電子零組件業,上櫃公司
6230,尼得科超眾科技股份有限公司,尼得科超眾,34005476,,863433000,新北市三重區頂崁里中興北街１８４之３號,281099,25,電腦及週邊設備業,上市公司
8072,陞泰科技股份有限公司,陞泰,97092770,,1000000000,新北市三重區頂崁里中興北街１９３―２號,269999,29,電子通路業,上市公司
2385,群光電子股份有限公司,群光,20954200,,7600531720,新北市三重區頂崁里光復路２段６９號,"272999,464212,464915,475199",28,電子零組件業,上市公司
3447,展達通訊股份有限公司,展達,16045290,,770841200,新北市三重區頂崁里光復路２段６９號２２樓,272999,27,通信網路業,上市公司
,有康電子股份有限公司,,84802861,,900000000,新北市三重區頂崁里光復路２段６９號２２樓,"271999,464111",,,
6412,群光電能科技股份有限公司,群電,24284436,,4007691260,新北市三重區頂崁里光復路２段６９號３０樓,"291900,292999,281099,273099",28,電子零組件業,上市公司
,台灣漢高股份有限公司,,23929515,,836917500,新北市中和區中原里中正路８６６、８６６－１、８６６－２號１０樓、８６６－６號１２樓及８６６－６、８６６－７號１３樓,"210999,469925",,,
,華森電子科技股份有限公司,,70776080,,583044000,新北市中和區中原里中正路８６６號６樓,264100,,,
,鈺祥企業股份有限公司,,22466564,,542064000,新北市中和區中原里中正路８６６－７號１７樓,"456111,199099,464999,381111",,,
6909,創控科技股份有限公司,創控,24496001,,602347000,新北市中和區中原里中正路８６８―６號８樓,"293700,869100,471999",24,半導體業,興櫃公司
8234,新漢股份有限公司,新漢,86891972,,1412264720,新北市中和區中原里中正路９２０號９樓,"273099,269999,271100",25,電腦及週邊設備業,上櫃公司
4764,雙鍵化工股份有限公司,雙鍵,84754072,,855420620,新北市中和區中原里中正路９５９號４樓,"181099,184111,184200,457199",21,化學工業,上市公司
6722,輝創電子股份有限公司,輝創,20947969,,780000000,新北市中和區中原里中正路９５９號５樓,"484311,272916",31,其他電子業,興櫃公司
2404,漢唐集成股份有限公司,漢唐,20938096,,1905866980,新北市中和區中原里橋和路１３號１３樓,"483112,292800",31,其他電子業,上市公司
3591,艾笛森光電股份有限公司,艾笛森,12907747,,1436094350,新北市中和區中原里橋和路１７號１７樓,"284299,269999",26,光電業,上市公司
3450,聯鈞光電股份有限公司,聯鈞,12624467,,1456813820,新北市中和區中原里橋安街３５號１０樓,"261111,261211,261212,261299",24,半導體業,上市公司
2495,普安科技股份有限公司,普安,84166074,,2735515380,新北市中和區中山路３段１０２號６樓,"271100,631299",25,電腦及週邊設備業,上市公司
,正興機電工程股份有限公司,,96891607,,528977490,新北市中和區中正路８０１號３樓,"422099,439099,293919,433211",,,
,淇譽電子科技股份有限公司,,34395565,,568440000,新北市中和區員山路５１４巷１４弄１號１樓,"273013,464211",,,
,台灣松下電器股份有限公司,,33385300,,3422216000,新北市中和區員山路５７９號,"273099,269911,220300,220112",,,
3526,凡甲科技股份有限公司,凡甲,16691156,,593189200,新北市中和區員山里中山路３段１０２號３樓及３樓之１，之２，之３，之４,"464320,464215,464211,281099",28,電子零組件業,上櫃公司
,八達創新科技股份有限公司,,70547566,,680000000,新北市中和區員山里員山路５１２號６樓,"451099,639099,456111,340017",,,
2485,兆赫電子股份有限公司,兆赫,12320400,,3176890370,新北市中和區員山里員山路５１２號７樓,"273099,269911,464211",27,通信網路業,上市公司
3052,夆典科技開發股份有限公司,夆典,20730758,,2306723250,新北市中和區員山里新民街１１２號４樓,"291900,273099",14,建材營造,上市公司
,德州儀器工業股份有限公司,,33405832,,10316084800,新北市中和區壽南里興南路１段１４２號,"269999,702012",,,
3594,磐儀科技股份有限公司,磐儀,84469443,,954393580,新北市中和區平河里中正路７００號１０樓,"271100,271999,269999,639099",25,電腦及週邊設備業,上櫃公司
3135,凌航科技股份有限公司,凌航,16561718,,603734050,新北市中和區平河里中正路７１６號６樓之２,"261199,620212,620111,711213",24,半導體業,興櫃公司
,志遠電子股份有限公司,,23295097,,739490000,新北市中和區平河里中正路７３８號８樓,"464211,464499,271100,269999",,,
1513,中興電工機械股份有限公司,中興電,33029464,,5031125150,新北市中和區平河里中正路８０１號３樓,281099,05,電機機械,上市公司
6831,邁萪科技股份有限公司,邁科,80294132,,568779300,新北市中和區平河里建一路１５０號１６樓之４,"273099,272112,269999",25,電腦及週邊設備業,興櫃公司
,奇普仕股份有限公司,,86022783,,1315246000,新北市中和區平河里建一路１５０號１７樓,"269999,464211",,,
,聚興科技股份有限公司,,97282244,,1539381000,新北市中和區平河里建一路１５０號１７樓,271100,,,
,美超微電腦股份有限公司,,12729477,,1500000000,新北市中和區平河里建一路１５０號３樓,"464111,271100,639099",,,
