year,stock_code,industry_category,nr_employee,em_salary_total,em_salary_avg,em_salary_med,eps,ind_avg_em_salary_avg,ind_avg_eps,note_a,note_b,note_c,notes
2023,1323,塑膠工業,688.0,413241.0,601.0,551.0,0.92,1175.0,0.68,True,True,True,1.本公司每年依獲利情形提撥酬勞，112年獲利大幅度下降，發放獎金及員工酬勞金額較111年降低。2.本公司因非擔任主管職務之資深員工相繼退休，人力結構改變降低平均薪資。
2023,1324,塑膠工業,216.0,126868.0,587.0,481.0,0.53,1175.0,0.68,True,True,True,
2023,1325,塑膠工業,122.0,61686.0,506.0,465.0,0.21,1175.0,0.68,True,True,True,
2023,1326,塑膠工業,4458.0,6027576.0,1352.0,1229.0,1.46,1175.0,0.68,True,True,True,本公司EPS雖較前一年度成長，惟台塑企業屬於煉化一體產業，年終獎金係按照勞資雙方同意依4大公司平均稅前EPS計算，受產業景氣影響，平均EPS下滑致年終獎金減少，惟員工薪資雖因此減少但仍高於同業平均。
2023,1336,電子零組件業,16.0,14951.0,934.0,708.0,1.39,703.0,1.58,True,True,True,
2023,1339,汽車工業,254.0,172833.0,680.0,518.0,5.88,882.0,6.4,True,True,True,
2023,1342,其他,361.0,235368.0,652.0,518.0,7.52,909.0,2.71,True,True,True,"本公司111年發行限制員工權利新股，111年既得之人數及股數較112年多所致。其中既得股數為111年422,000股，144人 112年332,000股，78人。"
2023,1402,紡織纖維,3975.0,3951781.0,994.0,832.0,1.64,701.0,1.12,True,True,True,本公司依年度結算盈餘情形，並考量未來營運發展等因素後，2023年獎金較2022年略為減少，加上部分資深同仁退休，致非主管職務員工年度薪資平均數較前一年度減少，惟評估變動尚屬合理，本公司整體薪資水準仍優於同業。
2023,1409,紡織纖維,1685.0,1096302.0,651.0,636.0,0.47,701.0,1.12,True,True,True,
2023,1410,紡織纖維,11.0,6164.0,560.0,501.0,0.24,701.0,1.12,True,True,True,
2023,1413,紡織纖維,179.0,108317.0,605.0,542.0,-1.01,701.0,1.12,True,True,True,
2023,1414,紡織纖維,193.0,93948.0,487.0,453.0,0.15,701.0,1.12,True,True,True,"112年度員工薪資平均數減少主要原因為: 1.112年度淨利32,849(仟元),111年度淨利     104,362(仟元),淨利減少71,513(仟元),員  酬及年獎減少約726萬 2.112年度全年加班費亦較111年度減少約590萬元"
2023,1416,其他,6.0,5069.0,845.0,855.0,0.51,909.0,2.71,True,True,True,
2023,1417,紡織纖維,295.0,167988.0,569.0,540.0,-0.37,701.0,1.12,True,True,True,
2023,1418,紡織纖維,36.0,21659.0,602.0,521.0,0.74,701.0,1.12,True,True,True,
2023,1419,紡織纖維,523.0,366539.0,701.0,596.0,2.17,701.0,1.12,True,True,True,
2023,1423,紡織纖維,41.0,23057.0,562.0,498.0,0.57,701.0,1.12,True,True,True,
2023,1432,運動休閒,336.0,184853.0,550.0,472.0,0.67,840.0,4.96,True,True,True,
2023,1434,紡織纖維,2910.0,1641405.0,564.0,493.0,0.26,701.0,1.12,True,True,True,
2023,1435,其他,6.0,4791.0,799.0,601.0,-0.3,909.0,2.71,True,True,True,公司改組，原員工於111年度全數離職，受離職金影響所致。
2023,1436,建材營造,35.0,32962.0,942.0,837.0,9.69,905.0,2.16,True,True,True,
2023,1437,其他,19.0,14659.0,772.0,455.0,2.82,909.0,2.71,True,True,True,"""其他""產業別中組成多元，行業間特性差異大。本公司112年度非擔任主管之員工薪資平均數增加158千元，較前一年度增加25.73%，經營績效與員工薪資呈正相關。"
2023,1438,建材營造,5.0,2336.0,467.0,436.0,-0.71,905.0,2.16,True,True,True,本年度因新進員工較多，又多為資歷較淺之人員，一方面稀釋整體薪酬，另方面則因尚未展現績效而獎酬不如預期.
2023,1439,建材營造,8.0,6149.0,769.0,786.0,2.0,905.0,2.16,True,True,True,
2023,1440,紡織纖維,982.0,607428.0,619.0,556.0,1.27,701.0,1.12,True,True,True,本公司112年度獲利主係處分投資性不動產所致，此為一次性獲利，本業則為虧損狀態，獲利並未優於同業。
2023,1441,紡織纖維,21.0,12764.0,608.0,551.0,-4.76,701.0,1.12,True,True,True,
2023,1442,建材營造,31.0,32453.0,1047.0,1021.0,4.71,905.0,2.16,True,True,True,
2023,1443,其他,86.0,56496.0,657.0,650.0,1.29,909.0,2.71,True,True,True,
2023,1444,紡織纖維,1020.0,523097.0,513.0,446.0,-0.28,701.0,1.12,True,True,True,
2023,1445,紡織纖維,300.0,206815.0,689.0,587.0,7.72,701.0,1.12,True,True,True,"112年度因認列處分不動產、廠房及設備利益$1,115,116仟元，以致EPS獲利大幅增加。"
2023,1446,紡織纖維,37.0,23567.0,637.0,515.0,0.8,701.0,1.12,True,True,True,
2023,1447,紡織纖維,1251.0,698648.0,558.0,505.0,-0.51,701.0,1.12,True,True,True,
2023,1449,紡織纖維,756.0,398094.0,527.0,494.0,0.61,701.0,1.12,True,True,True,
2023,1451,紡織纖維,681.0,352494.0,518.0,470.0,-1.83,701.0,1.12,True,True,True,
2023,1452,紡織纖維,199.0,112483.0,565.0,483.0,0.39,701.0,1.12,True,True,True,
2023,1453,建材營造,11.0,6220.0,565.0,596.0,0.57,905.0,2.16,True,True,True,
2023,1454,紡織纖維,385.0,214261.0,557.0,507.0,0.16,701.0,1.12,True,True,True,112年度稅後盈餘較111年度微幅下降，故員工薪酬亦僅微幅變動
2023,1455,紡織纖維,1214.0,732115.0,603.0,548.0,-0.45,701.0,1.12,True,True,True,112年度受累於全球不景氣及終端需求不振，全年稅後虧損，依經營積效訂定年終獎金發放基準，發放基準50天較111年65天減少15天，	若不計外勞，112年本國員工平均薪資678仟元	僅略低於同業平均數約 3%。
2023,1456,建材營造,27.0,15154.0,561.0,556.0,0.05,905.0,2.16,True,True,True,本公司112年度員工薪酬變動不大，主要產業為不動產部，次要為紡織部，紡織部員工在台南，112年紡織部毛利率2.15%，其平均薪資52萬元；不動產部員工主要在台北，112年不動產部毛利率31.24%，其平均薪資67萬元。
2023,1457,紡織纖維,17.0,13964.0,821.0,732.0,2.55,701.0,1.12,True,True,True,
2023,1459,紡織纖維,148.0,66415.0,449.0,394.0,0.07,701.0,1.12,True,True,True,因作業人員以外籍勞工為主，故整體薪資平均數低於同業水準。
2023,1460,紡織纖維,1381.0,721136.0,522.0,470.0,-1.8,701.0,1.12,True,True,True,
2023,1463,紡織纖維,163.0,83880.0,515.0,465.0,0.65,701.0,1.12,True,True,True,112年度獲利主要來自於轉投資收入及業外收入，本業營業收入衰退，員工上班時數減少，故平均薪資水準降低。
2023,1464,紡織纖維,723.0,400340.0,554.0,489.0,0.13,701.0,1.12,True,True,True,主係因員工加班費減少，故薪資中位數隨之降低。
2023,1465,紡織纖維,157.0,83338.0,531.0,477.0,0.56,701.0,1.12,True,True,True,
2023,1466,紡織纖維,298.0,170006.0,570.0,550.0,-1.36,701.0,1.12,True,True,True,
2023,1467,紡織纖維,164.0,108217.0,660.0,583.0,-0.71,701.0,1.12,True,True,True,
2023,1468,紡織纖維,40.0,21722.0,543.0,522.0,0.17,701.0,1.12,True,True,True,
2023,1470,紡織纖維,236.0,132259.0,560.0,473.0,0.58,701.0,1.12,True,True,True,
2023,1471,電子零組件業,26.0,19231.0,740.0,768.0,-0.29,951.0,5.97,True,True,True,112年離職人員薪資高於平均數，新進人員薪資低於平均數，致使平均數較111年減少。
2023,1472,建材營造,28.0,22486.0,803.0,651.0,4.27,905.0,2.16,True,True,True,全時員工年度薪資平均低於同業水準主係本公司今年度持續取得公共工程最有利標，營運方面循序漸進穩定成長，因而轉虧為盈，本年度員工薪資平均數較去年度成長34%，今後會持續提升員工薪資水準，與員工共享公司成就。
2023,1473,紡織纖維,332.0,195710.0,589.0,493.0,2.13,701.0,1.12,True,True,True,1.本公司薪酬制度除保障年薪13個月外，營運獲利另發放員工績效獎金。2.基層作業與縫製相關人員占比四成以上，且外勞占比超過5%以上，因基層直接作業人員占比高致平均薪資較低
2023,1474,紡織纖維,430.0,235539.0,548.0,503.0,-0.34,701.0,1.12,True,True,True,
2023,1475,紡織纖維,9.0,5224.0,580.0,586.0,7.9,701.0,1.12,True,True,True,我們依據員工的能力和表現評估薪酬，並根據公司營運成果調整。由於我們的人力結構中，主要因新員工的平均工作年限較短，致整體薪酬可能低於同業水平。但今年全職非主管員工的平均薪酬和中位數皆較去年增長。
2023,1476,紡織纖維,1707.0,1626998.0,953.0,833.0,18.87,701.0,1.12,True,True,True,
2023,1477,紡織纖維,785.0,1184002.0,1508.0,1381.0,16.5,701.0,1.12,True,True,True,
2023,1503,電機機械,2077.0,2125912.0,1024.0,842.0,4.51,803.0,2.29,True,True,True,本公司薪酬政策配合公司營運目標，並參考同業水準及個人績效貢獻訂定，且均經薪資報酬委員會及董事會審核，每年度依營運目標達成及獲利狀況，及員工績效考核結果做為薪酬核給之標準。
