"RegistrationNo","FacilityName","TaxidNo","Address","Latitude","Longitude"
"B23B2430","福績樹脂化工股份有限公司",52758286,"臺中市西屯區工業區三十六路１１號１樓",24.173919,120.5917186
"B23B6175","達興材料股份有限公司",28357108,"臺中市西屯區科園一路１５號",24.2057057,120.6081895
"B23B7420","頌勝化學工業股份有限公司",22231552,"臺中市西屯區協和里工業區十四路２號１樓",24.1763216,120.5950635
"B23B7965","光宇材料股份有限公司",54595817,"臺中市西屯區市政北二路２３６號９樓之１",24.1634242,120.6375545
"B23C0580","宏全國際股份有公司廠房增建工程",58176511,"臺中市西屯區工業區二路７號",24.1691943,120.6125534
"B23C2605","優美特創新材料股份有限公司",42842193,"臺中市西屯區東大路一段９５１號",24.2015815,120.6090718
"B2400420","高鼎精密材料股份有限公司",22777510,"臺中市南屯區寶山里工業區二十一路３５號",24.157245,120.60662
"B2402488","嘉泰化學工業股份有限公司",86835748,"臺中市西屯區協和里工業區四十一路２８號",24.172773,120.58515
"B2402755","統全樹脂化工廠股份有限公司",52921718,"臺中市南屯區寶山里工業區十八路１０號",24.1591044,120.610641
"B24B1516","大東樹脂化學股份有限公司精科廠",51008069,"臺中市南屯區文山里精科二路１２號",24.1495576,120.5993749
"B24B5904","興農股份有限公司生物科技台中廠",51911712,"臺中市南屯區工業區二十一路５０號",24.1549705,120.6051152
"B24C1266","高鼎精密材料股份有限公司二一六廠",22777510,"臺中市南屯區寶山里工業區二十一路３５之１號",24.1566157,120.6059626
"B2500023","全發實業有限公司",51160280,"臺中市北屯區舊社里北屯路４３９之１０號",24.1786864,120.7002512
"B25A9221","大豐環保科技股份有限公司",27590900,"臺中市北屯區崇德九路２８７號",24.1867972,120.6900323
"B8800022","北裕塑膠工業股份有限公司大甲廠",80619201,"臺中市大甲區日南里青年路１２５號",24.4018936,120.6509871
"B8800577","汐茂材料科技有限公司",53366371,"臺中市大甲區幼獅路６３之１號",24.4026558,120.6553803
"B8801038","北裕塑膠工業股份有限公司大甲二廠",80619201,"臺中市大甲區青年路１３７、１３９號",24.3999937,120.6532918
"B8801645","禎佶祥實業股份有限公司三廠",96886739,"臺中市大甲區幸福里長安路２０之６號",24.3879787,120.6636796
"B8801743","慶泰樹脂化學股份有限公司二廠",35891957,"臺中市大甲區工二路５８、５８之１、６０號",24.3987796,120.657454
"B8802151","三晃股份有限公司大甲廠",55738290,"臺中市大甲區日南里青年路１４０號",24.4001057,120.6523215
"B8903797","志森塑膠複合材料有限公司",12749190,"臺中市清水區菁埔路２００號",24.2860929,120.581795
"B9100209","宏全國際股份有限公司無菌飲料二廠",58176511,"臺中市梧棲區草湳里大業路６號",24.2345372,120.5141152
"B9100469","聯友科技股份有限公司",97162971,"臺中市梧棲區大成南路３號",24.2332683,120.5104821
"B9100601","三櫻企業股份有限公司",51074905,"臺中市梧棲區經三路４７號",24.2424655,120.5100165
