App_year,companyno,companyname,scompanyno,controlno,city,town,companyaddr,ccksicco1,Sicname1,CO2,CH4,N2O,HFCs,PFCs,SF6,nf3,Tot2,tot,cause,Check_yn
105,96971313,中鋼鋁業股份有限公司臨海廠,0001,E5600092,高雄市,小港區,高雄市小港區山明里東林路一七號,2422,鋁鑄造業,77389.89,146.53,43.06,272.13,0.00,0.00,0.00,134495.17,212346.78,依法申報,是
105,96933037,長生電力股份有限公司,0001,H4604568,桃園市,蘆竹區,桃園市蘆竹區濱海路一段199號,3510,電力供應業,1530345.05,688.59,813.12,6.76,0.00,1488.84,0.00,4942.98,1538285.34,依法申報,是
105,94025264,中華紙漿股份有限公司花蓮廠,0001,U9500478,花蓮縣,吉安鄉,花蓮縣吉安鄉光華村光華街100號,1511,紙漿製造業,102391.93,1243.12,4091.90,0.00,0.00,0.00,0.00,102223.11,209950.06,依法申報,是
105,89528054,台灣鋼聯股份有限公司,0001,N1607141,彰化縣,伸港鄉,彰化縣伸港鄉彰濱工業區線工北一路36號,1810,基本化學材料製造業,115961.29,7.98,14.24,0.56,0.00,0.00,0.00,11810.86,127794.93,依法申報,是
105,89397503,臺鹽實業股份有限公司通霄精鹽廠,0001,K7000504,苗栗縣,通霄鎮,苗栗縣通霄鎮內島村122號,0897,調理食品製造業,22325.73,50.61,12.69,7.61,0.00,0.00,0.00,1460.34,23856.97,依法申報,是
105,89390656,南亞科技股份有限公司三廠,0002,F1606662,新北市,泰山區,新北市泰山區南林路98號及115號,2611,積體電路製造業,5657.04,55.28,13206.41,4699.68,16691.55,492.07,10782.80,238436.60,290021.43,依法申報,是
105,86871981,潤泰精密材料股份有限公司宜蘭冬山廠,0001,G37A0585,宜蘭縣,冬山鄉,宜蘭縣冬山鄉安平村大安路三五七之一.三五七之二.三五七之三號,2331,水泥製造業,694103.73,95.07,1377.30,0.00,0.00,0.00,0.00,50188.45,745764.55,依法申報,是
105,47217677,聯華電子股份有限公司Fab12A廠第二廠區,0010,D0302141,台南市,新市區,台南市南科三路57號,2611,積體電路製造業,518.21,14.19,4523.13,254.43,851.69,82.08,5902.05,129252.44,141398.22,依法申報,是
105,47217677,聯華電子股份有限公司Fab8S廠,0009,J63A0048,新竹縣,寶山鄉,新竹科學工業園區新竹縣研新一路16號,2611,積體電路製造業,1320.01,20.22,4495.69,3470.95,9889.28,4514.40,2889.16,67607.78,94207.49,依法申報,是
105,47217677,聯華電子股份有限公司Fab8F廠,0008,O1708632,新竹市,東區,新竹市東區力行六路三號,2611,積體電路製造業,3231.57,29.46,4524.74,2507.48,21155.97,2052.00,778.37,86261.28,120540.88,依法申報,是
105,47217677,聯華電子股份有限公司Fab8E廠,0007,O1706692,新竹市,東區,新竹科學工業園區新竹市東區力行路17號,2611,積體電路製造業,2485.01,26.24,2431.65,7474.15,14088.85,8208.00,4253.58,82236.16,121203.64,依法申報,是
105,47217677,聯華電子股份有限公司Fab8A廠,0005,O1706209,新竹市,東區,新竹市東區力行二路3、5號,2611,積體電路製造業,3439.99,42.57,16201.54,5635.48,36566.41,41450.40,8838.84,121690.47,233865.70,依法申報,是
105,47217677,聯華電子股份有限公司Fab12A,0003,R0304131,台南市,新市區,台南市新市區南科二路18、20號,2611,積體電路製造業,20991.42,144.98,71423.24,5635.69,15015.37,4714.71,12433.25,448362.03,578720.68,依法申報,是
105,47217677,聯華電子股份有限公司Fab8D廠,0001,O1709148,新竹市,東區,新竹市東區力行三路六、八號,2611,積體電路製造業,5451.60,49.90,18499.60,4054.55,64902.67,22736.16,22324.13,172546.36,310564.96,依法申報,是
105,47109348,華夏玻璃股份有限公司,0001,O1703315,新竹市,香山區,新竹市香山區埔前里埔前路49號,2312,玻璃容器製造業,85569.16,131.70,131.48,0.84,0.00,0.00,0.00,28353.34,114186.52,依法申報,是
105,46007218,大享容器工業股份有限公司,0001,J5700231,新竹縣,新埔鎮,新竹縣新埔鎮文山里文山路犁頭山段1118號,2312,玻璃容器製造業,79599.26,101.22,146.14,0.00,0.00,0.00,0.00,19416.42,99263.03,依法申報,是
105,42010509,羅東鋼鐵廠股份有限公司煉鋼廠,0001,G32A0540,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮德興一路57號,2411,鋼鐵冶鍊業,29068.34,22.53,4.26,2.30,0.00,0.00,0.00,93594.63,122692.06,依法申報,是
105,35412204,華新麗華股份有限公司鹽水廠,0001,R8500582,台南市,鹽水區,台南市鹽水區汫水里溪州寮3-10號A棟,2411,鋼鐵冶鍊業,114025.74,165.69,67.50,12.66,0.00,0.00,0.00,178052.26,292323.84,依法申報,是
105,40601248,幸福水泥股份有限公司東澳廠,0002,G4100017,宜蘭縣,南澳鄉,宜蘭縣南澳鄉蘇花路三段101號,2331,水泥製造業,645969.09,150.71,1292.34,2.73,0.00,0.00,0.00,46759.32,694174.19,依法申報,是
105,39054405,李長榮化學工業股份有限公司高雄廠,0005,E5600305,高雄市,小港區,高雄市小港區中林路3號,1990,其他化學製品製造業,27327.05,5.83,3.43,46.11,0.00,0.00,0.00,80108.35,107490.77,依法申報,是
105,38033305,台硝股份有限公司桃園廠,0001,H4601290,桃園市,蘆竹區,桃園市蘆竹區坑口里3鄰大坑街25號,1990,其他化學製品製造業,33830.85,29.66,160.29,3.55,0.00,0.00,0.00,22698.12,56722.47,依法申報,是
105,35082604,中興紡織廠股份有限公司楊梅化纖廠,0001,H4500743,桃園市,楊梅區,桃園市楊梅區桃園市楊梅區中山南路567號,1841,合成樹脂及塑膠製造業,68175.69,166.52,228.98,3.00,0.00,13.68,0.00,85903.68,154491.55,依法申報,是
105,34557673,錦紅實業股份有限公司,0000,F0701319,新北市,樹林區,新北市樹林區武林街一五號,1140,印染整理業,27456.85,23.33,130.91,2.58,0.00,0.00,0.00,3961.79,31575.46,依法申報,是
105,34263157,三洋窯業股份有限公司,0000,F0801707,新北市,鶯歌區,新北市鶯歌區八德路16號,2399,未分類其他非金屬礦物製品製造業,28551.19,41.44,37.13,7.26,0.00,0.00,0.00,8980.09,37617.11,依法申報,是
105,34258318,白馬窯業股份有限公司楊梅廠,0001,H4500850,桃園市,楊梅區,桃園市楊梅區新榮里電研路5號,2322,黏土建築材料製造業,57660.40,57.40,22.59,5.07,0.00,0.00,0.00,14120.49,71865.95,依法申報,是
105,34202841,榮成紙業股份有限公司,0001,N1400562,彰化縣,二林鎮,彰化縣二林鎮廣興里廣興巷1-1號,1513,紙板製造業,397440.70,149.56,1759.39,59.45,0.00,0.00,0.00,7494.45,406903.55,依法申報,是
105,33955322,力鵬企業股份有限公司楊梅廠,0002,H4500458,桃園市,楊梅區,桃園市楊梅區新榮路339號,1140,印染整理業,63003.74,108.66,280.42,2.13,0.00,0.00,0.00,21560.98,84955.93,依法申報,是
105,33955322,力鵬企業股份有限公司彰化尼龍總廠,0001,N2904318,彰化縣,芳苑鄉,彰化縣芳苑鄉芳苑工業區工業路33號,1850,人造纖維製造業,30240.49,85.96,139.94,0.82,0.00,0.00,0.00,153244.43,183711.63,依法申報,是
105,33663649,協昌染整股份有限公司,0001,F0701346,新北市,樹林區,新北市樹林區西圳街一段45號,1140,印染整理業,15455.91,22.11,72.65,1.64,0.00,0.00,0.00,3253.53,18805.84,依法申報,是
105,33085508,正隆股份有限公司大園廠,0003,H4700645,桃園市,大園區,桃園市大園區大工路116號,1512,紙張製造業,214221.57,55637.62,820.30,9.08,0.00,0.00,0.00,145593.28,416281.86,依法申報,是
105,33085508,正隆股份有限公司后里分公司,0002,L9200693,台中市,后里區,台中市后里區三豐路三段2號、星科路101號,1512,紙張製造業,895116.65,8006.90,4064.81,50.33,0.00,0.00,0.00,17508.88,924747.58,依法申報,是
105,33085508,正隆股份有限公司竹北廠,0001,J5500366,新竹縣,竹北市,新竹縣竹北市長青路二段300號,1591,家庭及衛生用紙製造業,66760.91,708.16,299.55,50.42,0.00,0.00,0.00,59130.49,126949.54,依法申報,是
105,30974253,台灣石化合成股份有限公司林園廠,0001,S1900694,高雄市,林園區,高雄市林園區工業二路1號,1990,其他化學製品製造業,18103.64,211.15,20.77,1.77,0.00,0.00,0.00,99188.77,117526.09,依法申報,是
105,30414175,中國鋼鐵股份有限公司第三冷軋廠,0002,E56A4792,高雄市,小港區,高雄市小港區店鎮里嘉興街2號,2413,鋼鐵軋延及擠型業,53452.25,23.82,28.40,0.00,0.00,0.00,0.00,116327.32,169831.79,依法申報,是
105,30414175,中國鋼鐵股份有限公司,0001,E5600841,高雄市,小港區,高雄市小港區中鋼路1號,2411,鋼鐵冶鍊業,20886783.27,6063.59,90691.68,5942.48,0.00,4.56,0.00,1178324.77,22167810.35,依法申報,是
105,28518076,台灣美光記憶體股份有限公司,0001,L9202099,台中市,后里區,台中市后里區三豐路四段369號、九甲路500號,2611,積體電路製造業,24841.59,155.89,23881.93,3108.10,24038.60,2893.32,2941.21,344999.56,426860.19,依法申報,是
105,28112667,鉅晶電子股份有限公司,0001,O1753306,新竹市,東區,新竹市東區力行一路18號,2611,積體電路製造業,3909.06,48.17,607.47,1766.50,15003.48,3395.13,674.61,93449.52,118853.94,依法申報,是
105,28112646,新唐科技股份有限公司,0001,O17A0968,新竹市,東區,新竹市東區研新三路4號,2611,積體電路製造業,594.75,117.07,778.32,8719.32,15731.22,8002.80,451.33,40830.34,75225.15,依法申報,是
105,28098406,易昇鋼鐵股份有限公司,0001,R14A1883,台南市,永康區,台南市永康區正南一街200號,2411,鋼鐵冶鍊業,52040.84,60.24,34.18,0.63,0.00,0.00,0.00,89958.78,142094.66,依法申報,是
105,28042430,欣建工業股份有限公司,0001,S25A0144,高雄市,橋頭區,高雄市橋頭區芋寮里芋林路301號,2413,鋼鐵軋延及擠型業,20331.87,34.50,14.84,0.00,0.00,0.00,0.00,22009.15,42390.36,依法申報,是
105,27945086,星元電力股份有限公司(星元天然氣發電廠),0001,N1505633,彰化縣,線西鄉,彰化縣線西鄉慶安南二路二號,3510,電力供應業,838926.49,467.49,446.49,16.70,0.00,0.00,0.00,4801.07,844658.24,依法申報,是
105,27719048,永豐餘工業用紙股份有限公司成功廠,0006,L0000624,台中市,烏日區,台中市烏日區中山路三段546號,1511,紙漿製造業,99426.51,241.53,621.18,1.07,0.00,0.00,0.00,45581.18,145871.47,依法申報,是
105,27719048,永豐餘工業用紙股份有限公司新屋廠,0001,H5200215,桃園市,新屋區,桃園市新屋區永安里永福路281、306號,1599,未分類其他紙製品製造業,323132.96,843.13,2056.23,2.09,0.00,0.00,0.00,43079.79,369114.19,依法申報,是
105,27208480,尚承鋼鐵股份有限公司,0001,E56A2617,高雄市,小港區,高雄市小港區龍鳳里大業南路7號,2413,鋼鐵軋延及擠型業,95631.02,84.01,102.90,0.00,0.00,0.00,0.00,77750.12,173568.05,依法申報,是
105,24548079,台灣科慕股份有限公司觀音廠,0001,H53A6653,桃園市,觀音區,桃園市觀音區成功路二段566號,1810,基本化學材料製造業,136632.76,42.93,14.78,892.07,0.00,0.00,0.00,169878.37,307460.92,依法申報,是
105,24001900,日皓造紙工業股份有限公司,0001,h5302063,桃園市,觀音區,桃園市觀音區樹林里國建三路五號,1511,紙漿製造業,36923.93,230.41,174.63,9.52,0.00,0.00,0.00,21565.63,58904.11,依法申報,是
105,23528103,敦南科技股份有限公司基隆廠,0001,C1500291,基隆市,安樂區,基隆市安樂區武訓街28-1號,2699,未分類其他電子零組件製造業,18.56,30.69,22.83,161.88,542.92,7.30,0.00,12472.34,13256.50,依法申報,是
105,23218395,燁聯鋼鐵股份有限公司,0001,S1601990,高雄市,岡山區,高雄市岡山區興隆街600號,2411,鋼鐵冶鍊業,279050.91,283.78,183.00,71.96,0.00,0.00,0.00,369080.26,648669.91,依法申報,是
105,22956176,東展興業股份有限公司,0001,R0500400,台南市,山上區,台南市山上區北勢洲９８號,1810,基本化學材料製造業,5.29,3.52,0.18,0.00,0.00,0.00,0.00,1586.47,1595.46,依法申報,是
105,22927617,展頌股份有限公司斗六廠,0001,P4602374,雲林縣,斗六市,雲林縣斗六市斗工十路156號,1850,人造纖維製造業,28378.93,20.41,99.29,196.48,0.00,0.00,0.00,21371.60,50066.72,依法申報,是
105,22822748,聯成鋼鐵股份有限公司桃園廠,0001,H5200617,桃園市,新屋區,桃園市新屋區石磊里4鄰中華路996號,2411,鋼鐵冶鍊業,30745.94,17.24,8.76,5.03,0.00,0.00,0.00,62030.12,92807.09,依法申報,是
105,22817999,宏遠興業股份有限公司,0001,R0500240,台南市,山上區,台南市山上區明和里256號,1140,印染整理業,80656.12,191.17,363.80,0.00,0.00,0.00,0.00,73024.85,154235.94,依法申報,是
105,22663571,福隆玻璃纖維股份有限公司,0001,Q6901613,嘉義縣,民雄鄉,嘉義縣民雄鄉民雄工業區中華路89號,2399,未分類其他非金屬礦物製品製造業,25467.34,34.62,12.58,183.37,0.00,0.00,0.00,28072.76,53770.66,依法申報,是
105,22662355,台灣必成股份有限公司新港廠,0001,Q7100245,嘉義縣,新港鄉,嘉義縣新港鄉中洋村中洋工業區2之1號,2313,玻璃纖維製造業,87842.00,145.53,150.58,400.40,0.00,0.00,0.00,184843.17,273381.68,依法申報,是
