公司名稱,統一編號,RegistrationNo,FacilityName
天瑛股份有限公司,23197342,M3303947,天瑛股份有限公司
天瑛股份有限公司,23197342,M33A6339,天瑛股份有限公司二廠
天綾實業有限公司,24445524,P46A5277,天綾實業有限公司斗六廠
天耀企業社,10846132,D1200922,天耀企業社
太平洋電線電纜股份有限公司,03064800,H45B4066,太平洋電線電纜股份有限公司
太平洋電線電纜股份有限公司,03064800,H4400800,太平洋電線電纜股份有限公司大溪工廠
太平洋電線電纜股份有限公司,03064800,H45B1903,太平洋電線電纜股份有限公司楊梅工廠
太洋化成股份有限公司,20901577,S2002179,太洋化成股份有限公司
太麗科技股份有限公司,55886881,K71A8574,太麗科技股份有限公司
心勝實業股份有限公司,42913014,D1008937,心勝實業股份有限公司
日月星科技股份有限公司,80306123,A42B8547,日月星科技股份有限公司
日月星科技股份有限公司,80306123,H43A9900,日月星科技股份有限公司
日台興業股份有限公司,34141943,F0601323,日台興業股份有限公司
日旺實業有限公司,52455776,E2904566,日旺實業有限公司-日旺實業有限公司廠房新建工程
日昇橡膠廠股份有限公司,75060824,S2010073,日昇橡膠廠股份有限公司
日神企業有限公司,84347934,P4607833,日神企業有限公司斗六廠
日勝化工股份有限公司,23263551,M33A5925,日勝化工股份有限公司
日勝化工股份有限公司,23263551,M3301998,日勝化工股份有限公司
日穩股份有限公司,09497924,A35B8568,日穩股份有限公司
日穩股份有限公司,09497924,H5107899,日穩股份有限公司桃園廠
王子製藥股份有限公司,35048803,J5903572,王子製藥股份有限公司新竹廠
王子製藥股份有限公司,35048803,P48A4982,王子製藥股份有限公司中科廠
王子製藥股份有限公司,35048803,J57A2684,王子製藥股份有限公司新埔廠
王子製藥股份有限公司,35048803,F02A5436,王子製藥股份有限公司
世唯企業有限公司,96885871,P46A1601,世唯企業有限公司
代順企業有限公司,89381565,D1009667,代順企業有限公司
加合樹脂企業股份有限公司,72203519,R9700871,加合樹脂企業股份有限公司
北裕塑膠工業股份有限公司,80619201,B8801038,北裕塑膠工業股份有限公司大甲二廠
北裕塑膠工業股份有限公司,80619201,B8800022,北裕塑膠工業股份有限公司大甲廠
台江股份有限公司,42925546,D32B9233,台江股份有限公司
台昌樹脂企業股份有限公司,72006931,R9200107,台昌樹脂企業股份有限公司
台昌樹脂企業股份有限公司,72006931,D9203149,台昌樹脂企業股份有限公司柳科廠
台氟科技股份有限公司,97590122,B2302241,台氟科技股份有限公司
台界化學工業股份有限公司,12213318,A3604214,台界化學工業股份有限公司
台界化學工業股份有限公司,12213318,H5300934,台界化學工業股份有限公司觀音廠
台美壓克力股份有限公司,04368318,F1200188,台美壓克力股份有限公司
台茂奈米生化股份有限公司,52337390,L0100683,台茂奈米生化股份有限公司王田廠
台茂高分子科學股份有限公司,22245063,L0102374,台茂高分子科學股份有限公司
台菱樹脂工業股份有限公司新營分公司,37021055,R8400961,台菱樹脂工業股份有限公司新營分公司
台菱樹脂工業股份有限公司新營分公司,37021055,F2103106,台菱樹脂工業股份有限公司三芝廠
台菱樹脂工業股份有限公司新營分公司,37021055,F1000151,台菱樹脂工業股份有限公司
台塑大金精密化學股份有限公司,70467423,S2203667,台塑大金精密化學股份有限公司仁武廠
台塑大金精密化學股份有限公司,70467423,A34A1174,台塑大金精密化學股份有限公司
台塑出光特用化學品股份有限公司,42767461,P58A3809,台塑出光特用化學品股份有限公司
台塑出光特用化學品股份有限公司,42767461,P58A2425,台塑出光特用化學品股份有限公司
台塑石化股份有限公司,86522210,P5805146,台塑石化股份有限公司
台塑石化股份有限公司,86522210,H5388358,台塑石化股份有限公司桃園儲運站
台塑石化股份有限公司,86522210,P5802421,台塑石化股份有限公司麥寮一廠
台塑石化股份有限公司,86522210,P5802430,台塑石化股份有限公司麥寮三廠
台塑石化股份有限公司,86522210,N0810813,台塑石化股份有限公司彰濱摻配廠
台塑石化股份有限公司,86522210,P5801728,台塑石化股份有限公司麥寮二廠
台塑石化股份有限公司,86522210,F2304185,台塑石化股份有限公司台北儲運站
台塑旭彈性纖維股份有限公司,16446128,P5802378,台塑旭彈性纖維股份有限公司麥寮廠
台塑科騰化學有限公司,53667030,P58A2396,台塑科騰化學有限公司
台塑科騰化學有限公司,53667030,P58A1635,台塑科騰化學有限公司
台達化學工業股份有限公司林園廠,11893409,A42C1677,台達化學工業股份有限公司
台達化學工業股份有限公司林園廠,11893409,E5401393,台達化學工業股份有限公司前鎮廠
台達化學工業股份有限公司林園廠,11893409,S1900630,台達化學工業股份有限公司林園廠
台達化學工業股份有限公司林園廠,11893409,K7201412,台達化學工業股份有限公司頭份廠
台精化學工業股份有限公司,83387845,S2201145,台精化學工業股份有限公司
台綸企業股份有限公司,58124211,N1902089,台綸企業股份有限公司
台橡股份有限公司高雄廠,03553737,S16A0393,台橡股份有限公司岡山廠
台橡股份有限公司高雄廠,03553737,E2301225,台橡股份有限公司
台橡股份有限公司高雄廠,03553737,A3504540,台橡股份有限公司
台橡股份有限公司高雄廠,03553737,S2300438,台橡股份有限公司高雄廠
台懋實業股份有限公司,23378569,N1106247,台懋實業股份有限公司
台寶樹脂化工股份有限公司,86382392,J6104162,台寶樹脂化工股份有限公司新豐廠
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,M4300011,台灣中油（股）公司油品行銷事業部台中營業處水里加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,N2900016,台灣中油（股）油品行銷事業部台中營業處芳苑加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,N2000020,台灣中油（股）油品行銷事業部台中營業處芬園加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,T4900037,台灣中油（股）公司油品事業部高雄營業處九如東寧加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,L9000031,台灣中油（股）公司油品行銷事業部台中營業處沙鹿加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,N1600035,台灣中油（股）油品行銷事業部台中營業處伸港加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,N2802471,台灣中油（股油品行銷事業部台中營業處北斗交流道加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,E5200056,台灣中油（股）油品行銷事業部高雄營業處中正四路加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,L9800022,台灣中油（股）公司油品行銷事業部台中營業處外埔加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,M35A0341,台灣中油（股）油品行銷事業部台中營業處新豐加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,N2700016,台灣中油（股）油品行銷事業部台中營業處田尾加油站
台灣中油（股）油品行銷事業部高雄營業處大義街加油站,03707901,S1800028,台灣中油（股）公司油品行銷事業部高雄營業處美濃加油站
台灣中油股份有限公司石化事業部,03707901,L0500727,台灣中油股份有限公司-南門橋加油站
台灣中油股份有限公司石化事業部,03707901,R0500053,台灣中油股份有限公司油品行銷事業部台南營業處山上加油站
