公司名稱,公司簡稱,股票代碼,統編,上市上櫃產業別,上市上櫃產業編碼,自訂產業別
長佳機電工程股份有限公司,長佳,4550,84271478,電機機械,05,電機機械
力達控股有限公司,力達-KY,4552,51016510,電機機械,05,電機機械
盛復工業股份有限公司,盛復,4553,52757548,電機機械,05,電機機械
台灣氣立股份有限公司,氣立,4555,22301178,電機機械,05,電機機械
寶緯工業股份有限公司,寶緯,4558,23209895,電機機械,05,電機機械
久裕興業科技股份有限公司,久裕興,4559,55942764,電機機械,05,電機機械
強信機械科技股份有限公司,強信-KY,4560,50721361,電機機械,05,電機機械
健椿工業股份有限公司,健椿,4561,59362767,電機機械,05,電機機械
穎漢科技股份有限公司,穎漢,4562,28919500,電機機械,05,電機機械
百德機械股份有限公司,百德,4563,86195222,電機機械,05,電機機械
元翎精密工業股份有限公司,元翎,4564,23019109,電機機械,05,電機機械
宏偉電機工業股份有限公司,宏偉,4565,35945095,電機機械,05,電機機械
時碩工業股份有限公司,時碩工業,4566,24262159,電機機械,05,電機機械
科際精密股份有限公司,科際精密,4568,54705928,電機機械,05,電機機械
鈞興機電國際股份有限公司,鈞興-KY,4571,85282254,電機機械,05,電機機械
駐龍精密機械股份有限公司,駐龍,4572,23830154,電機機械,05,電機機械
高明鐵企業股份有限公司,高明鐵,4573,89338287,電機機械,05,電機機械
銓寶工業股份有限公司,銓寶,4575,97532545,電機機械,05,電機機械
大銀微系統股份有限公司,大銀微系統,4576,97413843,電機機械,05,電機機械
總格精密股份有限公司,總格精密,4578,23903228,電機機械,05,電機機械
捷流閥業股份有限公司,捷流閥業,4580,15877936,電機機械,05,電機機械
台灣精銳科技股份有限公司,台灣精銳,4583,70647919,電機機械,05,電機機械
君帆工業股份有限公司,君帆,4584,69777435,電機機械,05,電機機械
達明機器人股份有限公司,達明,4585,42643271,電機機械,05,電機機械
能海電能科技股份有限公司,能海電能,4586,28068917,電機機械,05,電機機械
開曼商豐祥控股股份有限公司,豐祥-KY,5288,38582821,電機機械,05,電機機械
擎邦國際科技工程股份有限公司,擎邦,6122,05114306,電機機械,05,電機機械
易發精機股份有限公司,易發,6425,22994919,電機機械,05,電機機械
富強鑫精密工業股份有限公司,富強鑫,6603,86122164,電機機械,05,電機機械
建德工業股份有限公司,建德工業,6606,35309102,電機機械,05,電機機械
台灣瀧澤科技股份有限公司,瀧澤科,6609,44549792,電機機械,05,電機機械
振躍精密滑軌股份有限公司,振躍精密,6705,97214507,電機機械,05,電機機械
千附精密股份有限公司,千附精密,6829,83599094,電機機械,05,電機機械
進典工業股份有限公司,進典,6843,35924015,電機機械,05,電機機械
鈦昇科技股份有限公司,鈦昇,8027,22101002,電機機械,05,電機機械
東元精電股份有限公司,東元精電,8041,16439631,電機機械,05,電機機械
瑞穎股份有限公司,瑞穎,8083,16264415,電機機械,05,電機機械
大億金茂股份有限公司,大億金茂,8107,16359284,電機機械,05,電機機械
寶一科技股份有限公司,寶一,8222,04431804,電機機械,05,電機機械
朋程科技股份有限公司,朋程,8255,16748101,電機機械,05,電機機械
羅昇企業股份有限公司,羅昇,8374,12486062,電機機械,05,電機機械
高力熱處理工業股份有限公司,高力,8996,35319185,電機機械,05,電機機械
皇田工業股份有限公司,皇田,9951,73707377,電機機械,05,電機機械
太平洋電線電纜股份有限公司,太電,1602,03064800,電器電纜,06,電器電纜
中華電線電纜股份有限公司,華電,1603,35882520,電器電纜,06,電器電纜
聲寶股份有限公司,聲寶,1604,03607500,電器電纜,06,電器電纜
華新麗華股份有限公司,華新,1605,35412204,電器電纜,06,電器電纜
歌林股份有限公司,歌林,1606,35451108,電器電纜,06,電器電纜
華榮電線電纜股份有限公司,華榮,1608,79460007,電器電纜,06,電器電纜
