stock_code,year,total_operating_revenue,total_operating_costs,total_operating_expenses,net_operating_income,profit_or_loss,total_comprehensive_income,total_assets
1313,2020,51866839,47232128,2361501,2273210,2134320,5069323,44200637
1314,2020,17583092,17544864,1851106,-1812878,674660,876428,104909990
1315,2020,2233540,1851340,344167,38033,5430211,5611934,13066420
1316,2020,1236441,977518,290867,-31944,65067,80620,7095303
1319,2020,17322986,13880338,2903020,539628,742587,691433,35553199
1321,2020,4980018,4379893,367431,232694,715152,1276651,12175162
1323,2020,3406532,2545751,398898,461883,353094,392993,5473347
1324,2020,1055758,872444,167215,16099,16364,21363,1242489
1325,2020,4056858,1350793,181338,2524727,2014576,2091683,4635081
1326,2020,253294668,223762600,14208448,15323620,21553709,11401024,531820428
1328,2020,721700943,712267229,20153836,-10720122,-7341553,-11949017,737278927
1337,2020,1008157,1486319,871088,-1349250,-1312802,-1215414,6532866
1338,2020,6166478,4772317,1138123,256038,287319,200918,10354080
1339,2020,2120901,1483398,287060,350443,119613,136020,5298401
1340,2020,656406,916105,141212,-400911,-389742,-434924,5565765
1341,2020,2664416,2036482,234370,393564,310881,240109,2121080
1342,2020,1531351,1140848,140790,249768,196227,196227,1975262
1343,2020,228205,177818,40403,9984,8513,8518,699620
1402,2020,206769281,166373605,30393920,10002311,12980539,13239008,616955270
1408,2020,5971430,5657412,688085,-374067,3789,-39078,7038917
1409,2020,32128967,,3277623,,3639884,3049891,173954320
1410,2020,416256,264604,64171,87481,62551,64200,1387560
1413,2020,1558963,1631827,91203,-164067,-162038,-159304,2737080
1414,2020,702471,639587,74982,-12098,58588,65842,4416425
1416,2020,20370,127939,64363,-171932,-343732,-282366,7210490
1417,2020,1035869,812289,582092,-358512,-353043,-481702,3147085
1418,2020,100142,285696,61709,-273258,-228235,-227877,2232986
1419,2020,2149213,1526091,459573,163447,364492,689546,13579128
1423,2020,202723,349979,50130,-197386,354023,662641,3335725
1432,2020,1154819,155980,1043231,-44392,15844,9810,4804207
1434,2020,28783492,25770665,2436481,576346,2095306,1468320,79462058
1435,2020,15053,1016,34270,-20233,-21435,-73708,1007903
1436,2020,1631881,1137804,221171,272906,179648,181433,11672964
1437,2020,605384,156429,87228,361727,356977,137669,11237184
1438,2020,98432,34938,17491,46003,45919,45919,1866081
1439,2020,113119,114888,28452,-30221,-243523,-122897,2405928
1440,2020,17628221,15965585,1851260,-188624,971261,897525,46874462
1441,2020,1509851,1584880,175026,-250055,-292272,-329975,2388768
1442,2020,2231333,1897356,224242,109735,76808,80191,12921260
1443,2020,569401,414023,64642,90736,-58737,-18440,5690226
1444,2020,8373609,7994807,628044,-250160,-424828,-65451,17398746
1445,2020,917470,922558,116795,-121883,-57906,-41386,1970847
1446,2020,490557,334603,153272,2682,-7438,11262,4085885
1447,2020,13559461,13324652,591304,-356736,-414333,416539,17844807
1449,2020,1929151,1838286,359945,-269080,-127030,-92486,6364291
1451,2020,7019373,6814683,504607,-299917,-423066,69022,9045576
1452,2020,1271905,1124021,106436,41448,97497,178473,2749971
1453,2020,219411,174701,34080,10630,15301,15301,1355776
1454,2020,1204928,1173098,128059,-96664,-38295,69413,1992198
1455,2020,7675607,7591144,364077,-279614,-40115,-27903,8926635
1456,2020,716457,589930,83260,150968,68064,68808,6711723
1457,2020,2707215,2501874,221908,905331,556686,670740,17780814
1459,2020,1783734,1869696,140413,-226375,-183707,-137392,5993026
1460,2020,7343877,6771871,1424413,-851834,-936989,-1033813,13565096
1463,2020,441609,356858,76388,8363,61102,42453,2634240
1464,2020,8594659,7350952,1231143,3155,-206633,-224404,17847430
1465,2020,425282,386665,55505,-16888,-25072,-43999,1917878
1466,2020,2635433,2353748,266935,14750,40489,31808,3420333
1467,2020,8598587,6382107,1783919,432561,164775,740675,8112920
1468,2020,961757,843871,120193,-2307,45183,76403,2867261
1470,2020,630757,517086,95568,19006,35414,47510,1173413
1471,2020,1085366,976899,213631,-105164,396093,394609,1595001
1472,2020,329104,315842,206559,-193297,-425124,-437332,1794920
1473,2020,5970540,5299588,998945,-327993,-355198,-457329,5038874
1474,2020,2858477,2456391,333425,68661,100880,94071,3862094
1475,2020,168113,136599,17188,14326,3910,9786,435455
1476,2020,28175401,20096659,2582190,5496552,4254534,4062270,26446425
1477,2020,24924170,19352764,2905648,2665758,2078913,1915510,18635811
1480,2020,7980893,7701785,131515,147593,125765,94881,4468840
1503,2020,25684003,20945818,2784055,1954130,1596946,1908819,42057817
1504,2020,45823430,35066082,7222036,3534057,3811648,7603587,105679071
1506,2020,855851,837273,230985,-212407,-370361,-381867,2289883
1507,2020,15318751,11486244,2564034,1268473,1345347,1513174,23916553
1512,2020,1188984,1114063,214593,-139672,-128179,-119925,2218122
1513,2020,15390789,12105150,1564666,1720973,1551301,2021565,29541235
1514,2020,5113892,4209656,555092,348750,320145,369426,6119464
1515,2020,11374207,9403085,815056,1156066,822190,854123,9541148
1516,2020,820184,780451,11360,28373,28653,28653,473379
1517,2020,3383919,2863070,384004,136845,202305,235107,4823283
1519,2020,8471592,7117542,879957,474093,457514,429006,8692352
1521,2020,4797165,4125419,486800,186734,159750,163536,3669776
1522,2020,14446208,11588776,2590956,266486,286687,229733,22745135
1524,2020,1908786,1617362,235992,55432,36537,74791,5033319
1525,2020,1052991,960750,85937,6304,324045,362040,5284732
1526,2020,1246649,965375,149010,132264,178317,178983,1847517
1527,2020,3589313,2680365,357567,551381,406950,402000,5089151
1528,2020,3210946,2356460,986227,-131741,-118019,-115273,5010635
1529,2020,609148,500377,38756,64350,62077,62077,1627586
1530,2020,3093583,2612792,444667,37924,594202,624942,6023970
1531,2020,1609928,1409043,280881,-79996,-55089,-48181,4424494
1532,2020,13125899,9827107,2008880,1297615,791441,1001958,44787320
1533,2020,2866192,2062214,739976,64002,-5000,-27900,6428761
1535,2020,8836360,8318011,439240,64724,197435,143568,6724372
1536,2020,5211042,4038224,776207,396611,285560,308008,18351175
1537,2020,7119214,5464078,455690,1199446,879196,743843,5445598
1538,2020,275762,241401,118412,-84051,-12302,-6864,458269
1539,2020,2293323,2075948,93993,123382,-18592,-12977,4436747
1540,2020,311106,267769,50791,-7454,-20657,-19722,1566895
1541,2020,5271945,4205170,381368,685407,456555,436971,3839724
1550,2020,8794242,7607378,873959,312905,227239,227654,12659653
1557,2020,4310030,3329392,927233,53405,178643,198691,10848876
1558,2020,6965819,5005807,770043,1189969,845641,763468,7981683
1560,2020,5156550,3609958,839619,706973,539476,514389,9452848
1563,2020,5441855,4449997,610714,381144,222276,227566,16819761
1568,2020,1756718,1590591,186812,-20685,10300,7263,3146395
1582,2020,9663341,7122648,1009001,1531692,974682,974730,11770911
1583,2020,5205033,4244029,902514,58490,685775,855095,12308522
1585,2020,128174,196502,61556,-129884,-147290,-148372,899879
1587,2020,1725729,1276679,317637,131413,173670,169503,2673908
1589,2020,8184273,6394486,1245087,544700,516530,517588,16394386
1590,2020,19103001,9649868,3488936,5964197,4844203,5214157,41430981
1592,2020,4677501,4036762,1699594,-958644,-1550068,-1498534,4750887
1594,2020,729669,645617,31989,52063,40963,34378,779320
1597,2020,1381885,815950,289566,276369,203095,195566,3509341
1598,2020,13123756,7639437,3644573,1852910,1318056,1256962,13251988
1602,2020,21457465,19224114,1542340,691011,279724,-276832,36362432
1603,2020,2244267,1967777,140235,143783,326569,367732,8341380
1604,2020,7670020,6267997,874713,527310,1835995,1855205,12614809
1605,2020,112546603,100078265,5083276,7385062,7005801,10344010,151564006
1606,2020,,,7386,-7386,-6908,-6908,21361
1608,2020,7440063,7092972,175228,171863,371697,376537,12343475
1609,2020,18300805,16699808,1172725,428272,1033720,1039995,25204203
1611,2020,2074046,1519379,465130,89537,78618,128233,5982799
1612,2020,4567162,4025217,232644,309301,517169,797743,6142370
1613,2020,3646949,3341984,182159,28564,-17135,2459,4497948
1614,2020,5488349,4320343,757862,410144,355605,339590,6567985
1615,2020,3165977,2623337,139162,403478,328750,331871,3417234
1616,2020,2682733,2554421,158538,-30226,1703,-30242,2776143
1617,2020,2984283,2554234,236720,193329,146273,141433,3041241
1618,2020,2822947,2482042,100263,240642,241980,578630,5036954
1619,2020,2634918,2570038,61183,3697,-20740,46243,1536080
1626,2020,9207346,7641207,1349582,220906,156239,256845,9253342
1701,2020,8181056,5212253,2547571,421232,559500,925745,12356914
1702,2020,17621763,11682430,4261588,1677745,995601,997720,25340484
1707,2020,9168195,1631457,5232009,2304782,1895095,1909751,13104121
1708,2020,4034992,3197912,582752,254328,174129,-52109,11878285
1709,2020,8481829,6994508,781300,708843,539660,518288,11120153
1710,2020,18763159,18245325,973826,-455992,-1471647,-1650199,34103627
1711,2020,7769066,6200244,1364186,204636,205022,413990,13226389
1712,2020,17484401,12780094,3726495,977812,721519,581703,14955981
1713,2020,475644,409367,48944,17333,91433,124742,2484080
1714,2020,25849191,19843007,2372333,3633445,2399546,2627507,24281825
1716,2020,5182380,2803690,1487361,891329,744904,717893,6786996
1717,2020,38370366,29484478,5746962,3138926,2493217,3087168,56188625
1718,2020,30816399,,7876063,,4048708,4393788,763091066
1720,2020,4305400,2385562,1213251,706587,625560,572197,7049447
1721,2020,2752601,2613246,383110,-243755,524306,529772,4799421
1722,2020,10169742,7580633,1341420,1247689,2452881,2739079,76346127
1723,2020,5363774,4243881,349994,769899,708027,678340,11642873
1724,2020,1746339,1525621,144905,85898,25477,22081,3140270
1725,2020,7072520,6686003,234863,151654,249050,21665,5342572
1726,2020,7987996,5870103,1140174,977719,830516,868670,10286126
1727,2020,1772950,1579260,182436,11254,-153895,-156609,2298098
1730,2020,3058759,1661362,1082446,315171,383850,364563,2595403
1731,2020,1065325,389054,505692,170337,171002,199225,2476266
1732,2020,620713,341465,232522,46726,38595,36458,650622
1733,2020,2005337,1553113,348896,103328,94629,91579,2651442
1734,2020,2388452,1512919,997730,-122197,-172559,-162812,6126915
1735,2020,2363415,1906186,319739,137490,74010,82921,3055063
1736,2020,28366756,14969269,12467398,930089,747354,711538,31187089
1737,2020,3130347,1822755,844271,463321,374589,370863,7797719
1739,2020,1503722,1311551,30759,161412,129410,129201,1215638
1740,2020,3274654,2497042,161901,603595,515252,566210,8129828
1743,2020,2649828,2341069,72592,236167,187008,186530,2318387
1745,2020,531327,417615,47409,66303,53852,63849,859597
1760,2020,1568637,754605,690623,104500,27901,18529,3073954
1762,2020,1543589,856836,417833,268920,532063,545719,3147140
1763,2020,117226402,87416339,7142696,22667367,16583430,19272479,125125734
1764,2020,99359315,81599197,7708083,10052035,10840218,22419841,195553532
1765,2020,100921672,79832729,5305224,15783719,12527078,28659046,151284877
1766,2020,49560966,41532876,4395564,3632526,2336440,2083671,55095998
1767,2020,771519,627298,55786,88435,91494,119225,2530715
1769,2020,2489876,1937366,128513,423997,402321,380890,7159088
1770,2020,4682196,3136540,1058906,486750,405254,421005,6223796
1773,2020,7778275,5456673,946217,1375385,1174007,1172694,8237310
1775,2020,5793470,4120180,911525,763559,598656,598631,7759809
1776,2020,1380972,1085671,208174,87127,56019,50745,1892973
1780,2020,618066,376912,138587,102567,79472,79763,2260554
1783,2020,457691,243171,153415,61105,63311,63093,956470
1786,2020,466881,123604,196640,146637,128005,122678,1890726
1789,2020,3082928,1765469,941736,375723,282067,482875,11846763
1795,2020,10728583,6131960,2983960,1612663,1029651,923104,19753418
1802,2020,41907654,34827749,4524435,2534105,2460548,3702742,89929777
1805,2020,219762,198988,73962,-53074,-61775,-61250,1377771
1806,2020,3609001,2918008,1041440,-350447,-402867,-415582,9894776
1808,2020,7656236,6639308,612474,404454,117248,166916,36797990
1809,2020,1860523,1527845,462224,-103217,-96123,-100293,4295774
1810,2020,5102207,3847421,1254601,185,79404,244946,10738661
1817,2020,2306521,1572353,444491,289046,220056,148625,2549013
1819,2020,198996,200451,24227,-25682,-26425,-26573,766717
1903,2020,159473,105965,205922,-152414,-135685,892778,7521993
1904,2020,40074390,29458625,5598187,5017578,3743869,2827144,61005820
1905,2020,18616694,17375251,1631953,-390177,-312392,-272800,32670233
1906,2020,1245461,1110916,125237,9308,93259,2526506,8355580
1907,2020,73234546,58253470,9378505,5602904,6603903,6578337,123771210
1909,2020,41600592,35078972,4221454,2300166,927510,3059690,73676851
2002,2020,314783301,299665781,12821283,2296237,2257833,-635850,636082697
2006,2020,42866290,36245586,2199217,4421487,3556583,3416575,44421087
2007,2020,5589791,5753100,190304,-353613,-484760,-483412,12939217
2008,2020,962510,940489,90643,-68622,-32794,327489,6662194
2009,2020,2260596,2281757,54742,-75903,79210,871148,6038411
2010,2020,19228310,17882620,803287,542403,522395,611261,18271473
2012,2020,8054615,6905334,798820,350461,263036,172022,10745473
2013,2020,13242169,12598007,366339,277823,630701,674332,14723286
2014,2020,36790154,35335654,1116288,338212,528260,664377,27100057
2015,2020,27298051,23448762,758427,3090862,2619426,2954020,23013862
2017,2020,3493012,3107240,402435,-13660,65923,374885,9386739
2020,2020,5073767,4583199,222945,267460,392144,420470,6777379
2022,2020,7930384,7397427,415275,117682,-219823,-392356,8162208
2023,2020,55421795,51270778,3017931,1133086,517588,579063,84032370
2024,2020,1184430,1084077,64016,36337,26843,27784,1923232
2025,2020,803775,992604,31472,-221988,-209678,-192353,1754625
2027,2020,59234909,50300169,7502253,1822767,-101458,-2450337,98131485
2028,2020,8690155,7965100,127666,597389,602547,574250,6565820
2029,2020,9381644,8514709,488585,378350,253371,251186,10066823
2030,2020,10560947,9622919,703160,234868,108351,120458,11667992
2031,2020,9852311,9039615,342376,469738,845733,1676408,19893273
2032,2020,3266944,3071560,106779,88605,75993,80754,2076932
2033,2020,757773,656220,80337,21216,19810,41629,1195584
2034,2020,12717152,11532537,719986,464629,423567,1610878,13212563
2038,2020,7600525,7243755,177322,179448,149541,83840,8303616
2041,2020,6567473,6317729,186015,63729,124369,371071,7352290
2048,2020,76824329,77021113,2012317,-2209101,-2192627,-2253439,167215485
2049,2020,21266659,15476252,4057933,1732474,1698779,1792503,48037782
2056,2020,3691723,3400406,284127,7190,94492,123825,4823961
2059,2020,4801405,2286593,553203,1961609,1164589,1162881,13375276
2062,2020,7237623,6582998,644385,10240,-77498,-44733,12530665
2068,2020,1969791,1401879,414823,153089,84318,104989,2784916
2069,2020,7433603,6927021,395403,111179,40157,48680,8415947
2071,2020,1825106,1692479,123825,8802,-45341,-45341,2841397
2072,2020,2514611,1489326,90269,935016,767346,767346,7032491
2101,2020,9695119,7364738,1301454,1029090,844378,960890,32025140
2102,2020,5704663,4402644,1032704,269315,111477,223635,14575805
2103,2020,24024443,21087174,2297813,822315,215261,-66742,29268382
2104,2020,17105502,13565328,2135714,1404460,676010,-279172,50187227
2105,2020,96209056,72220406,15391925,8596725,6001203,6281007,151325153
2106,2020,30260185,22910212,4876452,1535939,972225,676731,42390039
2107,2020,3282255,2219968,251725,810562,901716,785238,12257115
2108,2020,14402725,7924266,1657422,4821037,3620225,3596093,14409854
2109,2020,4882864,3723434,554366,605064,561919,391788,8049717
2114,2020,1596510,931808,156567,508135,523696,529709,2916069
2115,2020,2602257,1975622,298600,328035,594759,608067,4725135
2201,2020,82597514,63979927,19848067,-1218462,4839562,5080551,301322746
2204,2020,30874600,25968953,3130409,1776670,3540548,3669597,54597693
2206,2020,40774917,32968062,5847496,1959359,2051856,2102212,44018077
2207,2020,231813269,,14328508,,16535210,17260513,290251960
2208,2020,25296629,26706103,497921,-1907395,-1600087,-1546885,37247566
2211,2020,9349649,7323348,491989,1534312,1404259,2463493,24053202
2215,2020,35952577,28984027,5977950,990600,1319987,1283004,36860912
2218,2020,22055651,19816747,1917532,321372,393915,393915,6843244
2219,2020,1019581,897393,109194,12994,2133,-2076,1286643
2220,2020,20224533,17946233,1605860,672440,588960,597865,6727713
2222,2020,30051633,27509744,1899581,642308,835463,860015,9713893
2225,2020,37631195,34614230,2233614,783351,750954,772305,12956866
2226,2020,34669778,31002083,2773618,894077,874358,793184,14333616
2227,2020,29660638,25566106,3795462,299359,6540938,6482227,27764630
2228,2020,3423476,2678825,606032,138619,98938,88270,5494037
2231,2020,3340199,2067788,886043,386368,250171,261152,7527861
2233,2020,2538399,1715278,418131,404990,359289,367473,4281814
2236,2020,1181611,888273,238857,54481,27288,-19645,2263862
2237,2020,341327,403059,105035,-166767,-153977,-153977,800106
2239,2020,21644152,18187450,2187694,1269008,825466,1091304,32363922
2241,2020,847271,686300,117537,43434,6546,6300,2364110
2243,2020,757591,903291,214013,-359713,-284892,-289481,3902206
2245,2020,354201,238974,73188,42039,30834,26364,761669
2246,2020,205246,182693,189789,-166966,-148484,-148484,1221942
2247,2020,39561996,34862488,3475705,1292340,1070976,1042892,18549908
2248,2020,694217,557639,164367,-27789,-5467,3307,1169123
2249,2020,1784624,1531181,130766,122677,95628,95681,1368335
2250,2020,3623549,2989370,474421,159758,107544,83617,3033070
2252,2020,571504,370800,249165,-48461,-50274,-48899,1210722
2301,2020,157133623,129749924,17177505,10206194,9829204,8442603,176067237
2302,2020,759358,464314,153936,141108,105636,122388,2146524
2303,2020,176820914,137823813,23243584,22007407,27180412,31865946,377516375
2305,2020,582434,392046,258332,-67944,21579,27633,2901120
2308,2020,282605493,195393115,55786574,31425804,27384339,18434300,336416215
2311,2020,180725425,140021703,20859951,19843771,16761530,14636223,282305043
2312,2020,128219874,120255664,7232401,731809,240132,-305790,99275157
2313,2020,60516929,49513908,4365272,6637749,4664701,4778497,66395616
2314,2020,3949997,3210125,876881,-137009,-95415,-235925,5399783
2316,2020,4784973,4594437,395789,-205253,414059,352752,12572852
2317,2020,5358023065,5055104342,192091275,110827448,114325587,121498127,3674275590
2321,2020,1075547,892458,236564,-53475,-34701,-121222,1902890
2323,2020,9401027,7397634,2234737,-231344,124827,-24467,24805009
2324,2020,1048929251,1013470729,23965977,11492545,10409512,7068166,466925698
2325,2020,102035846,79718941,9948710,12368195,11496193,14655301,126272830
2327,2020,67672108,41015041,9175150,17481917,13003182,11274950,183030890
2328,2020,20547713,18403018,1219897,924798,790495,792262,20679624
2329,2020,13851909,13154556,884398,-186030,-266123,-408117,14483819
2330,2020,1339254811,628108309,145056549,566783698,518158082,487836280,2760711405
2331,2020,25995735,23264066,2690992,40677,65950,66220,23749910
2332,2020,15179443,10404148,4695069,80226,1310560,1075407,15950230
2337,2020,39800947,26391592,7542878,5866477,5325612,5613626,65892218
2338,2020,4666756,3723670,598933,344153,486307,489492,9069965
2340,2020,5590046,3946488,954411,689147,575129,483716,10641427
2342,2020,1845652,1427057,200327,218268,219533,219707,2962981
2344,2020,60683171,43643035,15412845,1627291,1519043,4810294,126043240
2345,2020,54462872,42908810,5151399,6402663,5048640,5109612,31122969
2347,2020,334200976,319106359,7860860,7233757,8538386,9260897,159675713
2348,2020,3747452,1534679,578146,1634627,1431116,1506727,9208138
2349,2020,6578209,5700940,1359177,-481908,-801727,-1011768,19551669
2351,2020,8450611,7118232,730792,601587,401381,418704,10575718
2352,2020,191701702,164874913,20213935,6612854,6366561,6038367,170811949
2353,2020,277112477,246992862,21412550,8935838,6145610,4974059,183908672
2354,2020,104789599,98320026,3851148,2618425,4686123,5199171,169109720
2355,2020,15313285,14443453,993603,-123771,45702,-34171,22477318
2356,2020,508294198,487181281,16671831,4441086,6572978,6420674,214161437
2357,2020,412780439,339554721,48253110,24957063,28386878,34442454,396514716
2358,2020,1920858,1733532,127809,59517,10429,11292,3145443
2359,2020,3527149,2781005,699206,46938,30390,24836,6482437
2360,2020,15532543,7988328,4746819,2797401,2380957,2459094,28128883
2362,2020,20238946,15882827,2879936,1476183,666944,618613,94266222
2363,2020,160171,115036,492509,-447374,-300090,9732127,17594109
2364,2020,863359,606187,254943,2229,15432,11557,1168651
2365,2020,1653269,1137698,353776,161795,146905,-94732,3697542
2367,2020,14386972,14390500,2306610,-2310138,-1435460,-1181514,23834297
2368,2020,23398323,18107743,2172286,3073918,2066612,2099666,21649496
2369,2020,5457586,5158502,462614,-163530,-163140,-154363,7645260
2371,2020,31641355,25312819,7640215,-1311337,-4988030,-5198492,110555435
2373,2020,12950974,7152644,4357247,1517380,1558735,1924878,18062909
2374,2020,3442017,2855114,1203201,-616298,-444902,-777534,9131183
2375,2020,4466552,3310374,603781,552397,581393,612846,13698167
2376,2020,84602841,70138404,10246602,4217835,4331235,4464790,49429157
2377,2020,146502789,125199949,12115012,9187828,7959505,8075487,78397515
2379,2020,77759470,44510731,24609176,8639563,8793526,7425261,78095917
2380,2020,1835372,1509281,689350,-363259,-412653,-409721,2697041
2382,2020,1090858851,1026887774,31518892,32450504,25390060,22934264,663857379
2383,2020,27200786,20160757,2356578,4683451,3694270,3770468,27856806
2384,2020,5130,241906,305371,-542147,2378027,2419168,8257607
2385,2020,95082227,77306598,10112929,7662700,6567771,5603268,75441996
2387,2020,21179505,17840977,1331100,2007428,1293318,1436506,22187577
2388,2020,6502715,4447181,2834454,-778920,4844834,4816705,18442050
2390,2020,531099,437572,215893,-122366,195323,199166,2928608
2392,2020,89552100,79778673,7379006,2394421,1884368,2142315,82262102
2393,2020,21637035,16218266,4065267,1353502,1249680,1361936,30267150
2395,2020,51119408,30723147,11359708,9036553,7302987,7274074,50199385
2397,2020,8349522,6240423,1460974,648125,477833,449862,8084004
2399,2020,2104572,1851165,280324,-26917,145600,148143,2808277
2401,2020,6414140,3489044,2408966,516167,618827,624545,12620589
2402,2020,5502842,4758407,548748,195687,120190,160279,9460234
2404,2020,35836642,30152496,1063500,4620646,4091332,3979275,27048567
2405,2020,1744376,1093608,595277,55491,62105,82698,3913584
2406,2020,9554735,8323634,1034653,-243088,-560980,-488952,15674046
2408,2020,61005514,45313936,7257104,8434474,7686041,5719045,165631980
2409,2020,270955381,248190042,20682297,2083042,2907427,5770407,407270295
2412,2020,207608998,137028852,29813666,42361726,34705543,35880459,506377992
2413,2020,3801959,3222699,563249,16011,-13831,31754,4611671
2414,2020,21557473,19830099,1263376,463998,371786,363115,7165650
2415,2020,1964549,1482002,264243,229589,87210,-21584,5590680
2417,2020,7051145,3260666,1940132,1850347,1617691,1606716,7998126
2419,2020,10278461,8125961,1705668,446832,402659,363585,12555955
2420,2020,2475359,1553532,409714,512113,444452,435708,5568202
2421,2020,12781281,9783239,1883831,1114211,851650,867211,10419061
2423,2020,2306140,1191144,866044,248954,199070,204810,3688376
2424,2020,17978,130474,68945,-181441,-141504,-140683,583468
2425,2020,4672310,4235305,210794,226211,183413,244901,2911546
2426,2020,2428616,2067874,366852,8328,307901,325839,6208768
2427,2020,3021959,2037049,871815,113095,115687,98640,4398765
2428,2020,5920258,3205653,871463,1843142,1380603,1467877,11030660
2429,2020,900394,823287,136935,-59828,-69543,-69168,973199
2430,2020,19542720,16495869,2623106,423745,308372,288098,13974028
2431,2020,2298426,2007667,256422,34337,46775,60433,2297477
2433,2020,4050378,2769558,775971,504849,590755,587678,7948046
2434,2020,133723,122895,79103,-68275,-6266,535,552424
2436,2020,2619977,1953708,539926,126343,341504,457696,4309329
2438,2020,379424,304194,69853,5377,22168,19793,948088
2439,2020,34444819,30126271,3177806,1140742,1319400,382440,34155348
2440,2020,2990077,2721215,142197,126665,219766,211372,2184414
2441,2020,14701682,10892042,563547,3246093,2662311,2650278,21532124
2442,2020,5306536,4480587,777286,48663,122004,124111,11586578
2443,2020,469729,543713,181001,-446237,-454870,-411713,891342
2444,2020,1774217,1519224,333434,-78441,-94762,-98109,1866657
2449,2020,28959304,21005316,3303277,4650711,3637140,5328558,61315518
